k,d,n,acc
8,1280,4096,1.0
8,1344,4096,1.0
8,1408,4096,1.0
8,1472,4096,1.0
8,1536,4096,1.0
8,1600,4096,1.0
8,1664,4096,1.0
8,1728,4096,1.0
8,1792,4096,1.0
8,1856,4096,1.0
8,1920,4096,1.0
8,1984,4096,1.0
8,2048,4096,1.0
8,2112,4096,1.0
8,2176,4096,1.0
8,2240,4096,1.0
8,2304,4096,1.0
8,2368,4096,1.0
8,2432,4096,1.0
8,2496,4096,1.0
8,2560,4096,1.0
8,2624,4096,1.0
8,2688,4096,1.0
8,2752,4096,1.0
8,2816,4096,1.0
8,2880,4096,1.0
8,2944,4096,1.0
8,3008,4096,1.0
8,3072,4096,1.0
8,3136,4096,1.0
8,3200,4096,1.0
8,3264,4096,1.0
8,3328,4096,1.0
8,3392,4096,1.0
8,3456,4096,1.0
8,3520,4096,1.0
8,3584,4096,1.0
8,3648,4096,1.0
8,3712,4096,1.0
8,3776,4096,1.0
8,3840,4096,1.0
8,3904,4096,1.0
8,3968,4096,1.0
8,4032,4096,1.0
8,4096,4096,1.0
9,64,4096,0.0
9,128,4096,0.0185546875
9,192,4096,0.34375
9,256,4096,0.77734375
9,320,4096,0.9599609375
9,384,4096,0.98828125
9,448,4096,0.9970703125
9,512,4096,1.0
9,576,4096,1.0
9,640,4096,1.0
9,704,4096,1.0
9,768,4096,1.0
9,832,4096,1.0
9,896,4096,1.0
9,960,4096,1.0
9,1024,4096,1.0
9,1088,4096,1.0
9,1152,4096,1.0
9,1216,4096,1.0
9,1280,4096,1.0
9,1344,4096,1.0
9,1408,4096,1.0
9,1472,4096,1.0
9,1536,4096,1.0
9,1600,4096,1.0
9,1664,4096,1.0
9,1728,4096,1.0
9,1792,4096,1.0
9,1856,4096,1.0
9,1920,4096,1.0
9,1984,4096,1.0
9,2048,4096,1.0
9,2112,4096,1.0
9,2176,4096,1.0
9,2240,4096,1.0
9,2304,4096,1.0
9,2368,4096,1.0
9,2432,4096,1.0
9,2496,4096,1.0
9,2560,4096,1.0
9,2624,4096,1.0
9,2688,4096,1.0
9,2752,4096,1.0
9,2816,4096,1.0
9,2880,4096,1.0
9,2944,4096,1.0
9,3008,4096,1.0
9,3072,4096,1.0
9,3136,4096,1.0
9,3200,4096,1.0
9,3264,4096,1.0
9,3328,4096,1.0
9,3392,4096,1.0
9,3456,4096,1.0
9,3520,4096,1.0
9,3584,4096,1.0
9,3648,4096,1.0
9,3712,4096,1.0
9,3776,4096,1.0
9,3840,4096,1.0
9,3904,4096,1.0
9,3968,4096,1.0
9,4032,4096,1.0
9,4096,4096,1.0
10,64,4096,0.0
10,128,4096,0.0029296875
10,192,4096,0.140625
10,256,4096,0.54296875
10,320,4096,0.8466796875
10,384,4096,0.9609375
10,448,4096,0.99609375
10,512,4096,0.9990234375
10,576,4096,1.0
10,640,4096,1.0
10,704,4096,1.0
10,768,4096,1.0
10,832,4096,1.0
10,896,4096,1.0
10,960,4096,1.0
10,1024,4096,1.0
10,1088,4096,1.0
10,1152,4096,1.0
10,1216,4096,1.0
10,1280,4096,1.0
10,1344,4096,1.0
10,1408,4096,1.0
10,1472,4096,1.0
10,1536,4096,1.0
10,1600,4096,1.0
10,1664,4096,1.0
10,1728,4096,1.0
10,1792,4096,1.0
10,1856,4096,1.0
10,1920,4096,1.0
10,1984,4096,1.0
10,2048,4096,1.0
10,2112,4096,1.0
10,2176,4096,1.0
10,2240,4096,1.0
10,2304,4096,1.0
10,2368,4096,1.0
10,2432,4096,1.0
10,2496,4096,1.0
10,2560,4096,1.0
10,2624,4096,1.0
10,2688,4096,1.0
10,2752,4096,1.0
10,2816,4096,1.0
10,2880,4096,1.0
10,2944,4096,1.0
10,3008,4096,1.0
10,3072,4096,1.0
10,3136,4096,1.0
10,3200,4096,1.0
10,3264,4096,1.0
10,3328,4096,1.0
10,3392,4096,1.0
10,3456,4096,1.0
10,3520,4096,1.0
10,3584,4096,1.0
10,3648,4096,1.0
10,3712,4096,1.0
10,3776,4096,1.0
10,3840,4096,1.0
10,3904,4096,1.0
10,3968,4096,1.0
10,4032,4096,1.0
10,4096,4096,1.0
11,64,4096,0.0
11,128,4096,0.0
11,192,4096,0.064453125
11,256,4096,0.3466796875
11,320,4096,0.734375
11,384,4096,0.91015625
11,448,4096,0.9794921875
11,512,4096,0.9931640625
11,576,4096,0.998046875
11,640,4096,1.0
11,704,4096,1.0
11,768,4096,0.9990234375
11,832,4096,1.0
11,896,4096,1.0
11,960,4096,1.0
11,1024,4096,1.0
11,1088,4096,1.0
11,1152,4096,1.0
11,1216,4096,1.0
11,1280,4096,1.0
11,1344,4096,1.0
11,1408,4096,1.0
11,1472,4096,1.0
11,1536,4096,1.0
11,1600,4096,1.0
11,1664,4096,1.0
11,1728,4096,1.0
11,1792,4096,1.0
11,1856,4096,1.0
11,1920,4096,1.0
11,1984,4096,1.0
11,2048,4096,1.0
11,2112,4096,1.0
11,2176,4096,1.0
11,2240,4096,1.0
11,2304,4096,1.0
11,2368,4096,1.0
11,2432,4096,1.0
11,2496,4096,1.0
11,2560,4096,1.0
11,2624,4096,1.0
11,2688,4096,1.0
11,2752,4096,1.0
11,2816,4096,1.0
11,2880,4096,1.0
11,2944,4096,1.0
11,3008,4096,1.0
11,3072,4096,1.0
11,3136,4096,1.0
11,3200,4096,1.0
11,3264,4096,1.0
11,3328,4096,1.0
11,3392,4096,1.0
11,3456,4096,1.0
