k,d,max_steps,acc
2,544,2,1.0
2,544,4,1.0
2,544,64,1.0
2,560,1,1.0
2,560,2,1.0
2,560,4,1.0
2,560,64,1.0
2,576,1,1.0
2,576,2,1.0
2,576,4,1.0
2,576,64,1.0
2,592,1,1.0
2,592,2,1.0
2,592,4,1.0
2,592,64,1.0
2,608,1,1.0
2,608,2,1.0
2,608,4,1.0
2,608,64,1.0
2,624,1,1.0
2,624,2,1.0
2,624,4,1.0
2,624,64,1.0
2,640,1,1.0
2,640,2,1.0
2,640,4,1.0
2,640,64,1.0
2,656,1,1.0
2,656,2,1.0
2,656,4,1.0
2,656,64,1.0
2,672,1,1.0
2,672,2,1.0
2,672,4,1.0
2,672,64,1.0
2,688,1,1.0
2,688,2,1.0
2,688,4,1.0
2,688,64,1.0
2,704,1,1.0
2,704,2,1.0
2,704,4,1.0
2,704,64,1.0
2,720,1,1.0
2,720,2,1.0
2,720,4,1.0
2,720,64,1.0
2,736,1,1.0
2,736,2,1.0
2,736,4,1.0
2,736,64,1.0
2,752,1,1.0
2,752,2,1.0
2,752,4,1.0
2,752,64,1.0
2,768,1,1.0
2,768,2,1.0
2,768,4,1.0
2,768,64,1.0
2,784,1,1.0
2,784,2,1.0
2,784,4,1.0
2,784,64,1.0
2,800,1,1.0
2,800,2,1.0
2,800,4,1.0
2,800,64,1.0
2,816,1,1.0
2,816,2,1.0
2,816,4,1.0
2,816,64,1.0
2,832,1,1.0
2,832,2,1.0
2,832,4,1.0
2,832,64,1.0
2,848,1,1.0
2,848,2,1.0
2,848,4,1.0
2,848,64,1.0
2,864,1,1.0
2,864,2,1.0
2,864,4,1.0
2,864,64,1.0
2,880,1,1.0
2,880,2,1.0
2,880,4,1.0
2,880,64,1.0
2,896,1,1.0
2,896,2,1.0
2,896,4,1.0
2,896,64,1.0
2,912,1,1.0
2,912,2,1.0
2,912,4,1.0
2,912,64,1.0
2,928,1,1.0
2,928,2,1.0
2,928,4,1.0
2,928,64,1.0
2,944,1,1.0
2,944,2,1.0
2,944,4,1.0
2,944,64,1.0
2,960,1,1.0
2,960,2,1.0
2,960,4,1.0
2,960,64,1.0
2,976,1,1.0
2,976,2,1.0
2,976,4,1.0
2,976,64,1.0
2,992,1,1.0
2,992,2,1.0
2,992,4,1.0
2,992,64,1.0
2,1008,1,1.0
2,1008,2,1.0
2,1008,4,1.0
2,1008,64,1.0
2,1024,1,1.0
2,1024,2,1.0
2,1024,4,1.0
2,1024,64,1.0
3,16,1,0.0
3,16,2,0.0
3,16,4,0.0
3,16,64,0.0
3,32,1,0.0078125
3,32,2,0.0625
3,32,4,0.1796875
3,32,64,0.1328125
3,48,1,0.1328125
3,48,2,0.5078125
3,48,4,0.8515625
3,48,64,0.859375
3,64,1,0.5078125
3,64,2,0.90625
3,64,4,0.984375
3,64,64,0.9921875
3,80,1,0.8125
3,80,2,0.9921875
3,80,4,1.0
3,80,64,1.0
3,96,1,0.9296875
3,96,2,1.0
3,96,4,1.0
3,96,64,1.0
3,112,1,0.984375
3,112,2,1.0
3,112,4,1.0
3,112,64,1.0
3,128,1,1.0
3,128,2,1.0
3,128,4,1.0
3,128,64,1.0
3,144,1,1.0
3,144,2,1.0
3,144,4,1.0
3,144,64,1.0
3,160,1,1.0
3,160,2,1.0
3,160,4,1.0
3,160,64,1.0
3,176,1,1.0
3,176,2,1.0
3,176,4,1.0
3,176,64,1.0
3,192,1,1.0
3,192,2,1.0
3,192,4,1.0
3,192,64,1.0
3,208,1,1.0
3,208,2,1.0
3,208,4,1.0
3,208,64,1.0
3,224,1,1.0
3,224,2,1.0
3,224,4,1.0
3,224,64,1.0
3,240,1,1.0
3,240,2,1.0
3,240,4,1.0
3,240,64,1.0
3,256,1,1.0
3,256,2,1.0
3,256,4,1.0
3,256,64,1.0
3,272,1,1.0
3,272,2,1.0
3,272,4,1.0
3,272,64,1.0
3,288,1,1.0
3,288,2,1.0
3,288,4,1.0
3,288,64,1.0
3,304,1,1.0
3,304,2,1.0
3,304,4,1.0
3,304,64,1.0
3,320,1,1.0
3,320,2,1.0
3,320,4,1.0
3,320,64,1.0
3,336,1,1.0
3,336,2,1.0
3,336,4,1.0
3,336,64,1.0
3,352,1,1.0
3,352,2,1.0
3,352,4,1.0
3,352,64,1.0
3,368,1,1.0
3,368,2,1.0
3,368,4,1.0
3,368,64,1.0
3,384,1,1.0
3,384,2,1.0
3,384,4,1.0
3,384,64,1.0
3,400,1,1.0
3,400,2,1.0
3,400,4,1.0
3,400,64,1.0
3,416,1,1.0
3,416,2,1.0
3,416,4,1.0
3,416,64,1.0
3,432,1,1.0
3,432,2,1.0
3,432,4,1.0
3,432,64,1.0
3,448,1,1.0
3,448,2,1.0
3,448,4,1.0
3,448,64,1.0
3,464,1,1.0
3,464,2,1.0
3,464,4,1.0
3,464,64,1.0
3,480,1,1.0
3,480,2,1.0
3,480,4,1.0
3,480,64,1.0
3,496,1,1.0
3,496,2,1.0
3,496,4,1.0
3,496,64,1.0
3,512,1,1.0
3,512,2,1.0
3,512,4,1.0
3,512,64,1.0
3,528,1,1.0
3,528,2,1.0
3,528,4,1.0
3,528,64,1.0
3,544,1,1.0
3,544,2,1.0
3,544,4,1.0
3,544,64,1.0
3,560,1,1.0
3,560,2,1.0
3,560,4,1.0
3,560,64,1.0
3,576,1,1.0
3,576,2,1.0
3,576,4,1.0
3,576,64,1.0
3,592,1,1.0
3,592,2,1.0
3,592,4,1.0
3,592,64,1.0
3,608,1,1.0
3,608,2,1.0
3,608,4,1.0
3,608,64,1.0
3,624,1,1.0
3,624,2,1.0
3,624,4,1.0
3,624,64,1.0
3,640,1,1.0
3,640,2,1.0
3,640,4,1.0
3,640,64,1.0
3,656,1,1.0
3,656,2,1.0
3,656,4,1.0
3,656,64,1.0
3,672,1,1.0
3,672,2,1.0
3,672,4,1.0
3,672,64,1.0
3,688,1,1.0
3,688,2,1.0
3,688,4,1.0
3,688,64,1.0
3,704,1,1.0
3,704,2,1.0
3,704,4,1.0
3,704,64,1.0
3,720,1,1.0
3,720,2,1.0
3,720,4,1.0
3,720,64,1.0
3,736,1,1.0
3,736,2,1.0
3,736,4,1.0
3,736,64,1.0
3,752,1,1.0
3,752,2,1.0
3,752,4,1.0
3,752,64,1.0
3,768,1,1.0
3,768,2,1.0
3,768,4,1.0
3,768,64,1.0
3,784,1,1.0
3,784,2,1.0
3,784,4,1.0
3,784,64,1.0
3,800,1,1.0
3,800,2,1.0
3,800,4,1.0
3,800,64,1.0
3,816,1,1.0
3,816,2,1.0
3,816,4,1.0
3,816,64,1.0
3,832,1,1.0
3,832,2,1.0
3,832,4,1.0
3,832,64,1.0
3,848,1,1.0
3,848,2,1.0
3,848,4,1.0
3,848,64,1.0
3,864,1,1.0
3,864,2,1.0
3,864,4,1.0
3,864,64,1.0
3,880,1,1.0
3,880,2,1.0
3,880,4,1.0
3,880,64,1.0
3,896,1,1.0
3,896,2,1.0
3,896,4,1.0
3,896,64,1.0
3,912,1,1.0
3,912,2,1.0
3,912,4,1.0
3,912,64,1.0
3,928,1,1.0
3,928,2,1.0
3,928,4,1.0
3,928,64,1.0
3,944,1,1.0
3,944,2,1.0
3,944,4,1.0
3,944,64,1.0
3,960,1,1.0
3,960,2,1.0
3,960,4,1.0
3,960,64,1.0
3,976,1,1.0
3,976,2,1.0
3,976,4,1.0
3,976,64,1.0
3,992,1,1.0
3,992,2,1.0
3,992,4,1.0
3,992,64,1.0
3,1008,1,1.0
3,1008,2,1.0
3,1008,4,1.0
3,1008,64,1.0
3,1024,1,1.0
3,1024,2,1.0
3,1024,4,1.0
3,1024,64,1.0
4,16,1,0.0
4,16,2,0.0
4,16,4,0.0
4,16,64,0.0
4,32,1,0.0
4,32,2,0.0
4,32,4,0.0078125
4,32,64,0.0
4,48,1,0.0
4,48,2,0.21875
4,48,4,0.421875
4,48,64,0.453125
4,64,1,0.0703125
4,64,2,0.5703125
4,64,4,0.8671875
4,64,64,0.8984375
4,80,1,0.21875
4,80,2,0.9140625
4,80,4,0.9609375
4,80,64,0.984375
4,96,1,0.4921875
4,96,2,0.9765625
4,96,4,1.0
4,96,64,1.0
4,112,1,0.8125
4,112,2,1.0
4,112,4,1.0
4,112,64,1.0
4,128,1,0.9140625
4,128,2,1.0
4,128,4,1.0
4,128,64,1.0
4,144,1,0.96875
4,144,2,1.0
4,144,4,1.0
4,144,64,1.0
4,160,1,0.9765625
4,160,2,1.0
4,160,4,1.0
4,160,64,1.0
4,176,1,1.0
4,176,2,1.0
4,176,4,1.0
4,176,64,1.0
4,192,1,1.0
4,192,2,1.0
4,192,4,1.0
