n,d,k,b,accuracy
1048576,492,40,50,0.11999999731779099
1048576,574,40,50,0.5199999809265137
1048576,656,40,50,0.8600000143051147
1048576,738,40,50,0.9399999976158142
1048576,820,40,50,1.0
1048576,902,40,50,0.9800000190734863
1048576,984,40,50,1.0
1048576,82,41,50,0.0
1048576,164,41,50,0.0
1048576,246,41,50,0.0
1048576,328,41,50,0.0
1048576,410,41,50,0.0
1048576,492,41,50,0.10000000149011612
1048576,574,41,50,0.4000000059604645
1048576,656,41,50,0.7799999713897705
1048576,738,41,50,0.9399999976158142
1048576,820,41,50,1.0
1048576,902,41,50,1.0
1048576,984,41,50,1.0
1048576,82,42,50,0.0
1048576,164,42,50,0.0
1048576,246,42,50,0.0
1048576,328,42,50,0.0
1048576,410,42,50,0.0
1048576,492,42,50,0.019999999552965164
1048576,574,42,50,0.25999999046325684
1048576,656,42,50,0.7599999904632568
1048576,738,42,50,0.8799999952316284
1048576,820,42,50,1.0
1048576,902,42,50,1.0
1048576,984,42,50,1.0
1048576,82,43,50,0.0
1048576,164,43,50,0.0
1048576,246,43,50,0.0
1048576,328,43,50,0.0
1048576,410,43,50,0.0
1048576,492,43,50,0.03999999910593033
1048576,574,43,50,0.1599999964237213
1048576,656,43,50,0.699999988079071
1048576,738,43,50,0.9200000166893005
1048576,820,43,50,0.9599999785423279
1048576,902,43,50,0.9800000190734863
1048576,984,43,50,1.0
1048576,82,44,50,0.0
1048576,164,44,50,0.0
1048576,246,44,50,0.0
1048576,328,44,50,0.0
1048576,410,44,50,0.0
1048576,492,44,50,0.0
1048576,574,44,50,0.20000000298023224
1048576,656,44,50,0.5799999833106995
1048576,738,44,50,0.8600000143051147
1048576,820,44,50,0.9800000190734863
1048576,902,44,50,0.9800000190734863
1048576,984,44,50,1.0
1048576,82,45,50,0.0
1048576,164,45,50,0.0
1048576,246,45,50,0.0
1048576,328,45,50,0.0
1048576,410,45,50,0.0
1048576,492,45,50,0.0
1048576,574,45,50,0.18000000715255737
1048576,656,45,50,0.5400000214576721
1048576,738,45,50,0.8999999761581421
1048576,820,45,50,0.9599999785423279
1048576,902,45,50,1.0
1048576,984,45,50,1.0
1048576,82,46,50,0.0
1048576,164,46,50,0.0
1048576,246,46,50,0.0
1048576,328,46,50,0.0
1048576,410,46,50,0.0
1048576,492,46,50,0.0
1048576,574,46,50,0.07999999821186066
1048576,656,46,50,0.5
1048576,738,46,50,0.9200000166893005
1048576,820,46,50,0.9599999785423279
1048576,902,46,50,1.0
1048576,984,46,50,1.0
1048576,82,47,50,0.0
1048576,164,47,50,0.0
1048576,246,47,50,0.0
1048576,328,47,50,0.0
1048576,410,47,50,0.0
1048576,492,47,50,0.0
1048576,574,47,50,0.03999999910593033
1048576,656,47,50,0.2199999988079071
1048576,738,47,50,0.8199999928474426
1048576,820,47,50,0.8799999952316284
1048576,902,47,50,0.9599999785423279
1048576,984,47,50,1.0
1048576,82,48,50,0.0
1048576,164,48,50,0.0
1048576,246,48,50,0.0
1048576,328,48,50,0.0
1048576,410,48,50,0.0
1048576,492,48,50,0.0
1048576,574,48,50,0.0
1048576,656,48,50,0.4000000059604645
1048576,738,48,50,0.7200000286102295
1048576,820,48,50,0.9599999785423279
1048576,902,48,50,0.9599999785423279
1048576,984,48,50,1.0
1048576,82,49,50,0.0
1048576,164,49,50,0.0
1048576,246,49,50,0.0
1048576,328,49,50,0.0
1048576,410,49,50,0.0
1048576,492,49,50,0.0
1048576,574,49,50,0.019999999552965164
1048576,656,49,50,0.14000000059604645
1048576,738,49,50,0.6800000071525574
1048576,820,49,50,0.9200000166893005
1048576,902,49,50,0.9800000190734863
1048576,984,49,50,1.0
1048576,82,50,50,0.0
1048576,164,50,50,0.0
1048576,246,50,50,0.0
1048576,328,50,50,0.0
1048576,410,50,50,0.0
1048576,492,50,50,0.0
1048576,574,50,50,0.0
1048576,656,50,50,0.1599999964237213
1048576,738,50,50,0.46000000834465027
1048576,820,50,50,0.8399999737739563
1048576,902,50,50,0.9200000166893005
1048576,984,50,50,0.9399999976158142
1048576,82,51,50,0.0
1048576,164,51,50,0.0
1048576,246,51,50,0.0
1048576,328,51,50,0.0
1048576,410,51,50,0.0
1048576,492,51,50,0.0
1048576,574,51,50,0.0
1048576,656,51,50,0.11999999731779099
1048576,738,51,50,0.5400000214576721
1048576,820,51,50,0.9200000166893005
1048576,902,51,50,0.8999999761581421
1048576,984,51,50,0.9599999785423279
1048576,82,52,50,0.0
1048576,164,52,50,0.0
1048576,246,52,50,0.0
1048576,328,52,50,0.0
1048576,410,52,50,0.0
1048576,492,52,50,0.0
1048576,574,52,50,0.019999999552965164
1048576,656,52,50,0.10000000149011612
1048576,738,52,50,0.46000000834465027
1048576,820,52,50,0.6800000071525574
1048576,902,52,50,0.9399999976158142
1048576,984,52,50,0.9800000190734863
1048576,82,53,50,0.0
1048576,164,53,50,0.0
1048576,246,53,50,0.0
1048576,328,53,50,0.0
1048576,410,53,50,0.0
1048576,492,53,50,0.0
1048576,574,53,50,0.0
1048576,656,53,50,0.11999999731779099
1048576,738,53,50,0.3799999952316284
1048576,820,53,50,0.7200000286102295
1048576,902,53,50,0.8799999952316284
1048576,984,53,50,0.9599999785423279
1048576,82,54,50,0.0
1048576,164,54,50,0.0
1048576,246,54,50,0.0
1048576,328,54,50,0.0
1048576,410,54,50,0.0
1048576,492,54,50,0.0
1048576,574,54,50,0.0
1048576,656,54,50,0.03999999910593033
1048576,738,54,50,0.4399999976158142
1048576,820,54,50,0.699999988079071
1048576,902,54,50,0.9200000166893005
1048576,984,54,50,0.9599999785423279
1048576,82,55,50,0.0
1048576,164,55,50,0.0
1048576,246,55,50,0.0
1048576,328,55,50,0.0
1048576,410,55,50,0.0
1048576,492,55,50,0.0
1048576,574,55,50,0.0
1048576,656,55,50,0.0
1048576,738,55,50,0.30000001192092896
1048576,820,55,50,0.6800000071525574
1048576,902,55,50,0.800000011920929
1048576,984,55,50,0.9800000190734863
1048576,82,56,50,0.0
1048576,164,56,50,0.0
1048576,246,56,50,0.0
1048576,328,56,50,0.0
1048576,410,56,50,0.0
1048576,492,56,50,0.0
1048576,574,56,50,0.0
1048576,656,56,50,0.019999999552965164
1048576,738,56,50,0.18000000715255737
1048576,820,56,50,0.41999998688697815
1048576,902,56,50,0.9200000166893005
1048576,984,56,50,0.9399999976158142
1048576,82,57,50,0.0
1048576,164,57,50,0.0
1048576,246,57,50,0.0
1048576,328,57,50,0.0
1048576,410,57,50,0.0
1048576,492,57,50,0.0
1048576,574,57,50,0.0
1048576,656,57,50,0.0
1048576,738,57,50,0.1599999964237213
1048576,820,57,50,0.5600000023841858
1048576,902,57,50,0.6800000071525574
1048576,984,57,50,0.8399999737739563
1048576,82,58,50,0.0
1048576,164,58,50,0.0
1048576,246,58,50,0.0
1048576,328,58,50,0.0
1048576,410,58,50,0.0
1048576,492,58,50,0.0
1048576,574,58,50,0.0
1048576,656,58,50,0.0
1048576,738,58,50,0.1599999964237213
1048576,820,58,50,0.4399999976158142
1048576,902,58,50,0.699999988079071
1048576,984,58,50,0.8799999952316284
1048576,82,59,50,0.0
1048576,164,59,50,0.0
1048576,246,59,50,0.0
1048576,328,59,50,0.0
1048576,410,59,50,0.0
1048576,492,59,50,0.0
1048576,574,59,50,0.0
1048576,656,59,50,0.0
1048576,738,59,50,0.05999999865889549
1048576,820,59,50,0.36000001430511475
1048576,902,59,50,0.699999988079071
1048576,984,59,50,0.9399999976158142
1048576,82,60,50,0.0
1048576,164,60,50,0.0
1048576,246,60,50,0.0
1048576,328,60,50,0.0
1048576,410,60,50,0.0
1048576,492,60,50,0.0
1048576,574,60,50,0.0
1048576,656,60,50,0.0
1048576,738,60,50,0.03999999910593033
1048576,820,60,50,0.3799999952316284
1048576,902,60,50,0.7200000286102295
1048576,984,60,50,0.7799999713897705
1048576,82,61,50,0.0
1048576,164,61,50,0.0
1048576,246,61,50,0.0
1048576,328,61,50,0.0
1048576,410,61,50,0.0
1048576,492,61,50,0.0
1048576,574,61,50,0.0
1048576,656,61,50,0.0
1048576,738,61,50,0.07999999821186066
1048576,820,61,50,0.14000000059604645
1048576,902,61,50,0.6600000262260437
1048576,984,61,50,0.8600000143051147
1048576,82,62,50,0.0
1048576,164,62,50,0.0
1048576,246,62,50,0.0
1048576,328,62,50,0.0
1048576,410,62,50,0.0
1048576,492,62,50,0.0
1048576,574,62,50,0.0
1048576,656,62,50,0.0
1048576,738,62,50,0.019999999552965164
1048576,820,62,50,0.30000001192092896
1048576,902,62,50,0.4399999976158142
1048576,984,62,50,0.699999988079071
1048576,82,63,50,0.0
1048576,164,63,50,0.0
1048576,246,63,50,0.0
1048576,328,63,50,0.0
1048576,410,63,50,0.0
1048576,492,63,50,0.0
1048576,574,63,50,0.0
1048576,656,63,50,0.0
1048576,738,63,50,0.03999999910593033
1048576,820,63,50,0.20000000298023224
1048576,902,63,50,0.6000000238418579
1048576,984,63,50,0.7599999904632568
1048576,82,64,50,0.0
1048576,164,64,50,0.0
1048576,246,64,50,0.0
1048576,328,64,50,0.0
1048576,410,64,50,0.0
1048576,492,64,50,0.0
1048576,574,64,50,0.0
1048576,656,64,50,0.0
1048576,738,64,50,0.0
1048576,820,64,50,0.11999999731779099
1048576,902,64,50,0.5
1048576,984,64,50,0.6600000262260437
1048576,82,65,50,0.0
1048576,164,65,50,0.0
1048576,246,65,50,0.0
1048576,328,65,50,0.0
1048576,410,65,50,0.0
1048576,492,65,50,0.0
1048576,574,65,50,0.0
1048576,656,65,50,0.0
1048576,738,65,50,0.0
1048576,820,65,50,0.14000000059604645
1048576,902,65,50,0.3400000035762787
1048576,984,65,50,0.6600000262260437
1048576,82,66,50,0.0
1048576,164,66,50,0.0
1048576,246,66,50,0.0
1048576,328,66,50,0.0
1048576,410,66,50,0.0
1048576,492,66,50,0.0
1048576,574,66,50,0.0
1048576,656,66,50,0.0
1048576,738,66,50,0.0
1048576,820,66,50,0.07999999821186066
1048576,902,66,50,0.23999999463558197
1048576,984,66,50,0.6800000071525574
1048576,82,67,50,0.0
1048576,164,67,50,0.0
1048576,246,67,50,0.0
1048576,328,67,50,0.0
1048576,410,67,50,0.0
1048576,492,67,50,0.0
1048576,574,67,50,0.0
1048576,656,67,50,0.0
1048576,738,67,50,0.0
1048576,820,67,50,0.03999999910593033
1048576,902,67,50,0.3199999928474426
1048576,984,67,50,0.6000000238418579
1048576,82,68,50,0.0
1048576,164,68,50,0.0
1048576,246,68,50,0.0
1048576,328,68,50,0.0
1048576,410,68,50,0.0
1048576,492,68,50,0.0
1048576,574,68,50,0.0
1048576,656,68,50,0.0
1048576,738,68,50,0.0
1048576,820,68,50,0.019999999552965164
1048576,902,68,50,0.23999999463558197
1048576,984,68,50,0.3400000035762787
1048576,82,69,50,0.0
1048576,164,69,50,0.0
1048576,246,69,50,0.0
1048576,328,69,50,0.0
1048576,410,69,50,0.0
1048576,492,69,50,0.0
1048576,574,69,50,0.0
1048576,656,69,50,0.0
1048576,738,69,50,0.0
1048576,820,69,50,0.0
1048576,902,69,50,0.14000000059604645
1048576,984,69,50,0.5400000214576721
1048576,82,70,50,0.0
1048576,164,70,50,0.0
1048576,246,70,50,0.0
1048576,328,70,50,0.0
1048576,410,70,50,0.0
1048576,492,70,50,0.0
1048576,574,70,50,0.0
1048576,656,70,50,0.0
1048576,738,70,50,0.0
1048576,820,70,50,0.019999999552965164
1048576,902,70,50,0.10000000149011612
1048576,984,70,50,0.5
1048576,82,71,50,0.0
1048576,164,71,50,0.0
1048576,246,71,50,0.0
1048576,328,71,50,0.0
1048576,410,71,50,0.0
1048576,492,71,50,0.0
1048576,574,71,50,0.0
1048576,656,71,50,0.0
1048576,738,71,50,0.0
1048576,820,71,50,0.019999999552965164
1048576,902,71,50,0.11999999731779099
1048576,984,71,50,0.3400000035762787
1048576,82,72,50,0.0
1048576,164,72,50,0.0
1048576,246,72,50,0.0
1048576,328,72,50,0.0
1048576,410,72,50,0.0
1048576,492,72,50,0.0
1048576,574,72,50,0.0
1048576,656,72,50,0.0
1048576,738,72,50,0.0
1048576,820,72,50,0.0
