n,eta,factor,threshold,max_steps,k,d,acc
256,0.0126984128728508,1.1428571939468384,False,2,1.0,7.0,0.42666015625
256,0.0126984128728508,1.1428571939468384,False,3,1.0,7.0,0.42902560763888886
256,0.0126984128728508,1.2857143878936768,False,2,1.0,8.0,0.6351453993055556
256,0.0126984128728508,1.2857143878936768,False,3,1.0,8.0,0.6256510416666666
256,0.0126984128728508,1.4285714626312256,False,2,1.0,9.0,0.7860460069444445
256,0.0126984128728508,1.4285714626312256,False,3,1.0,9.0,0.7776909722222223
256,0.0126984128728508,1.571428656578064,False,2,1.0,10.0,0.8888888888888888
256,0.0126984128728508,1.571428656578064,False,3,1.0,10.0,0.8774739583333333
256,0.0126984128728508,1.7142858505249023,False,2,1.0,11.0,0.9422960069444445
256,0.0126984128728508,1.7142858505249023,False,3,1.0,11.0,0.93896484375
256,0.0126984128728508,1.8571429252624512,False,2,1.0,12.0,0.9717881944444444
256,0.0126984128728508,1.8571429252624512,False,3,1.0,12.0,0.9684461805555555
256,0.0126984128728508,2.0,False,2,1.0,13.0,0.9848524305555556
256,0.0126984128728508,2.0,False,3,1.0,13.0,0.9834852430555555
256,0.0126984128728508,2.142857313156128,False,2,1.0,14.0,0.9920952690972222
256,0.0126984128728508,2.142857313156128,False,3,1.0,14.0,0.9918728298611111
256,0.0126984128728508,2.2857143878936768,False,2,1.0,14.0,0.9920952690972222
256,0.0126984128728508,2.2857143878936768,False,3,1.0,14.0,0.9918728298611111
256,0.0126984128728508,2.4285714626312256,False,2,1.0,15.0,0.9966362847222222
256,0.0126984128728508,2.4285714626312256,False,3,1.0,15.0,0.9963107638888888
256,0.0126984128728508,2.5714287757873535,False,2,1.0,16.0,0.9977430555555555
256,0.0126984128728508,2.5714287757873535,False,3,1.0,16.0,0.9978081597222223
256,0.0126984128728508,2.7142858505249023,False,2,1.0,17.0,0.9992296006944444
256,0.0126984128728508,2.7142858505249023,False,3,1.0,17.0,0.9985243055555556
256,0.0126984128728508,2.857142925262451,False,2,1.0,18.0,0.999609375
256,0.0126984128728508,2.857142925262451,False,3,1.0,18.0,0.9988715277777778
256,0.0126984128728508,3.000000238418579,False,2,1.0,19.0,0.9998046875
256,0.0126984128728508,3.000000238418579,False,3,1.0,19.0,0.9996202256944444
256,0.0126984128728508,3.142857313156128,False,2,1.0,20.0,1.0
256,0.0126984128728508,3.142857313156128,False,3,1.0,20.0,1.0
256,0.0126984128728508,3.2857143878936768,False,2,1.0,21.0,1.0
256,0.0126984128728508,3.2857143878936768,False,3,1.0,21.0,1.0
256,0.0126984128728508,3.4285717010498047,False,2,1.0,22.0,1.0
256,0.0126984128728508,3.4285717010498047,False,3,1.0,22.0,1.0
256,0.0126984128728508,3.5714287757873535,False,2,1.0,23.0,1.0
256,0.0126984128728508,3.5714287757873535,False,3,1.0,23.0,1.0
