d,n,k,errs
668,65536,24,0
692,65536,24,0
716,65536,24,0
740,65536,24,0
764,65536,24,0
788,65536,24,0
812,65536,24,0
836,65536,24,0
860,65536,24,0
884,65536,24,0
908,65536,24,0
932,65536,24,0
956,65536,24,0
980,65536,24,0
1004,65536,24,0
20,65536,26,13
44,65536,26,7
68,65536,26,3
92,65536,26,8
116,65536,26,8
140,65536,26,2
164,65536,26,4
188,65536,26,4
212,65536,26,3
236,65536,26,0
260,65536,26,0
284,65536,26,0
308,65536,26,0
332,65536,26,0
356,65536,26,0
380,65536,26,0
404,65536,26,0
428,65536,26,0
452,65536,26,0
476,65536,26,0
500,65536,26,0
524,65536,26,0
548,65536,26,0
572,65536,26,0
596,65536,26,0
620,65536,26,0
644,65536,26,0
668,65536,26,0
692,65536,26,0
716,65536,26,0
740,65536,26,0
764,65536,26,0
788,65536,26,0
812,65536,26,0
836,65536,26,0
860,65536,26,0
884,65536,26,0
908,65536,26,0
932,65536,26,0
956,65536,26,0
980,65536,26,0
1004,65536,26,0
20,65536,28,21
44,65536,28,8
68,65536,28,6
92,65536,28,9
116,65536,28,8
140,65536,28,4
164,65536,28,19
188,65536,28,20
212,65536,28,3
236,65536,28,0
260,65536,28,0
284,65536,28,0
308,65536,28,0
332,65536,28,0
356,65536,28,0
380,65536,28,0
404,65536,28,0
428,65536,28,0
452,65536,28,0
476,65536,28,0
500,65536,28,0
524,65536,28,0
548,65536,28,0
572,65536,28,0
596,65536,28,0
620,65536,28,0
644,65536,28,0
668,65536,28,0
692,65536,28,0
716,65536,28,0
740,65536,28,0
764,65536,28,0
788,65536,28,0
812,65536,28,0
836,65536,28,0
860,65536,28,0
884,65536,28,0
908,65536,28,0
932,65536,28,0
956,65536,28,0
980,65536,28,0
1004,65536,28,0
20,65536,30,16
44,65536,30,10
68,65536,30,9
92,65536,30,14
116,65536,30,19
140,65536,30,13
164,65536,30,23
188,65536,30,9
212,65536,30,13
236,65536,30,12
260,65536,30,0
284,65536,30,0
308,65536,30,0
332,65536,30,0
356,65536,30,0
380,65536,30,0
404,65536,30,0
428,65536,30,0
452,65536,30,0
476,65536,30,0
500,65536,30,0
524,65536,30,0
548,65536,30,0
572,65536,30,0
596,65536,30,0
620,65536,30,0
644,65536,30,0
668,65536,30,0
692,65536,30,0
716,65536,30,0
740,65536,30,0
764,65536,30,0
788,65536,30,0
812,65536,30,0
836,65536,30,0
860,65536,30,0
884,65536,30,0
908,65536,30,0
932,65536,30,0
956,65536,30,0
980,65536,30,0
1004,65536,30,0
20,65536,32,17
44,65536,32,16
68,65536,32,9
92,65536,32,17
116,65536,32,9
140,65536,32,17
164,65536,32,13
188,65536,32,17
212,65536,32,4
236,65536,32,20
260,65536,32,4
284,65536,32,0
308,65536,32,0
332,65536,32,0
356,65536,32,0
380,65536,32,0
404,65536,32,0
428,65536,32,0
452,65536,32,0
476,65536,32,0
500,65536,32,0
524,65536,32,0
548,65536,32,0
572,65536,32,0
596,65536,32,0
620,65536,32,0
644,65536,32,0
668,65536,32,0
692,65536,32,0
716,65536,32,0
740,65536,32,0
764,65536,32,0
788,65536,32,0
812,65536,32,0
836,65536,32,0
860,65536,32,0
884,65536,32,0
908,65536,32,0
932,65536,32,0
956,65536,32,0
980,65536,32,0
1004,65536,32,0
20,65536,34,12
44,65536,34,9
68,65536,34,14
92,65536,34,11
116,65536,34,23
140,65536,34,12
164,65536,34,20
188,65536,34,22
212,65536,34,24
236,65536,34,18
260,65536,34,5
284,65536,34,0
308,65536,34,0
332,65536,34,0
356,65536,34,0
380,65536,34,0
404,65536,34,0
428,65536,34,0
452,65536,34,0
476,65536,34,0
500,65536,34,0
524,65536,34,0
548,65536,34,0
572,65536,34,0
596,65536,34,0
620,65536,34,0
644,65536,34,0
668,65536,34,0
692,65536,34,0
716,65536,34,0
740,65536,34,0
764,65536,34,0
788,65536,34,0
812,65536,34,0
836,65536,34,0
860,65536,34,0
884,65536,34,0
908,65536,34,0
932,65536,34,0
956,65536,34,0
980,65536,34,0
1004,65536,34,0
20,65536,36,18
44,65536,36,14
68,65536,36,9
92,65536,36,14
116,65536,36,21
140,65536,36,25
164,65536,36,10
188,65536,36,24
212,65536,36,24
236,65536,36,24
260,65536,36,1
284,65536,36,1
308,65536,36,0
332,65536,36,0
356,65536,36,0
380,65536,36,0
404,65536,36,0
428,65536,36,0
452,65536,36,0
476,65536,36,0
500,65536,36,0
524,65536,36,0
548,65536,36,0
572,65536,36,0
596,65536,36,0
620,65536,36,0
644,65536,36,0
668,65536,36,0
692,65536,36,0
20,65536,2,0
44,65536,2,0
68,65536,2,0
716,65536,36,0
92,65536,2,0
116,65536,2,0
140,65536,2,0
164,65536,2,0
188,65536,2,0
740,65536,36,0
212,65536,2,0
236,65536,2,0
260,65536,2,0
284,65536,2,0
764,65536,36,0
308,65536,2,0
332,65536,2,0
356,65536,2,0
788,65536,36,0
380,65536,2,0
404,65536,2,0
812,65536,36,0
428,65536,2,0
452,65536,2,0
836,65536,36,0
476,65536,2,0
500,65536,2,0
860,65536,36,0
524,65536,2,0
548,65536,2,0
884,65536,36,0
572,65536,2,0
596,65536,2,0
908,65536,36,0
620,65536,2,0
932,65536,36,0
644,65536,2,0
668,65536,2,0
956,65536,36,0
692,65536,2,0
716,65536,2,0
980,65536,36,0
740,65536,2,0
1004,65536,36,0
20,65536,38,20
44,65536,38,12
68,65536,38,17
764,65536,2,0
92,65536,38,15
788,65536,2,0
116,65536,38,23
812,65536,2,0
836,65536,2,0
140,65536,38,25
860,65536,2,0
164,65536,38,20
884,65536,2,0
908,65536,2,0
188,65536,38,23
932,65536,2,0
956,65536,2,0
212,65536,38,22
980,65536,2,0
236,65536,38,17
1004,65536,2,0
20,65536,4,2
44,65536,4,0
260,65536,38,0
68,65536,4,0
92,65536,4,0
116,65536,4,0
140,65536,4,0
284,65536,38,1
164,65536,4,0
188,65536,4,0
212,65536,4,0
236,65536,4,0
260,65536,4,0
308,65536,38,2
284,65536,4,0
308,65536,4,0
332,65536,4,0
332,65536,38,2
356,65536,4,0
380,65536,4,0
356,65536,38,0
404,65536,4,0
428,65536,4,0
380,65536,38,0
452,65536,4,0
476,65536,4,0
404,65536,38,0
500,65536,4,0
524,65536,4,0
548,65536,4,0
428,65536,38,0
572,65536,4,0
596,65536,4,0
620,65536,4,0
452,65536,38,0
644,65536,4,0
668,65536,4,0
476,65536,38,0
692,65536,4,0
500,65536,38,0
716,65536,4,0
524,65536,38,0
740,65536,4,0
548,65536,38,0
764,65536,4,0
572,65536,38,0
788,65536,4,0
812,65536,4,0
596,65536,38,0
836,65536,4,0
620,65536,38,0
860,65536,4,0
644,65536,38,0
884,65536,4,0
668,65536,38,0
908,65536,4,0
692,65536,38,0
932,65536,4,0
716,65536,38,0
956,65536,4,0
740,65536,38,0
980,65536,4,0
764,65536,38,0
1004,65536,4,0
20,65536,6,2
44,65536,6,0
788,65536,38,0
68,65536,6,0
92,65536,6,0
116,65536,6,0
812,65536,38,0
140,65536,6,0
164,65536,6,0
836,65536,38,0
188,65536,6,0
212,65536,6,0
236,65536,6,0
260,65536,6,0
860,65536,38,0
284,65536,6,0
308,65536,6,0
884,65536,38,0
332,65536,6,0
356,65536,6,0
380,65536,6,0
908,65536,38,0
404,65536,6,0
428,65536,6,0
932,65536,38,0
452,65536,6,0
476,65536,6,0
956,65536,38,0
500,65536,6,0
524,65536,6,0
980,65536,38,0
548,65536,6,0
572,65536,6,0
1004,65536,38,0
20,65536,40,21
44,65536,40,13
596,65536,6,0
68,65536,40,7
620,65536,6,0
92,65536,40,22
644,65536,6,0
116,65536,40,9
668,65536,6,0
692,65536,6,0
140,65536,40,28
716,65536,6,0
164,65536,40,10
740,65536,6,0
764,65536,6,0
188,65536,40,24
788,65536,6,0
812,65536,6,0
212,65536,40,18
836,65536,6,0
860,65536,6,0
236,65536,40,16
884,65536,6,0
908,65536,6,0
260,65536,40,19
932,65536,6,0
284,65536,40,15
956,65536,6,0
980,65536,6,0
308,65536,40,27
1004,65536,6,0
20,65536,8,1
44,65536,8,0
68,65536,8,1
92,65536,8,0
