method,n,eta,k,d_per_nat,d,dict_type,acc
2_step,256,0.0126984128728508,1,7.285714149475098,47,rademacher,1.0
2_step,256,0.0126984128728508,1,7.285714149475098,47,spherical,1.0
2_step,256,0.0126984128728508,1,7.4285712242126465,48,rademacher,1.0
2_step,256,0.0126984128728508,1,7.4285712242126465,48,spherical,1.0
2_step,256,0.0126984128728508,1,7.571428298950195,49,rademacher,1.0
2_step,256,0.0126984128728508,1,7.571428298950195,49,spherical,1.0
2_step,256,0.0126984128728508,1,7.714285850524902,50,rademacher,1.0
2_step,256,0.0126984128728508,1,7.714285850524902,50,spherical,1.0
2_step,256,0.0126984128728508,1,7.857142925262451,51,rademacher,1.0
2_step,256,0.0126984128728508,1,7.857142925262451,51,spherical,1.0
2_step,256,0.0126984128728508,1,8.0,52,rademacher,1.0
2_step,256,0.0126984128728508,1,8.0,52,spherical,1.0
2_step,256,0.0126984128728508,1,8.142857551574707,53,rademacher,1.0
2_step,256,0.0126984128728508,1,8.142857551574707,53,spherical,1.0
2_step,256,0.0126984128728508,1,8.285714149475098,54,rademacher,1.0
2_step,256,0.0126984128728508,1,8.285714149475098,54,spherical,1.0
2_step,256,0.0126984128728508,1,8.428571701049805,55,rademacher,1.0
2_step,256,0.0126984128728508,1,8.428571701049805,55,spherical,1.0
2_step,256,0.0126984128728508,1,8.571428298950195,56,rademacher,1.0
2_step,256,0.0126984128728508,1,8.571428298950195,56,spherical,1.0
2_step,256,0.0126984128728508,1,8.714285850524902,57,rademacher,1.0
2_step,256,0.0126984128728508,1,8.714285850524902,57,spherical,1.0
2_step,256,0.0126984128728508,1,8.857142448425293,57,rademacher,1.0
2_step,256,0.0126984128728508,1,8.857142448425293,57,spherical,1.0
2_step,256,0.0126984128728508,1,9.0,58,rademacher,1.0
2_step,256,0.0126984128728508,1,9.0,58,spherical,1.0
2_step,256,0.0190476197749376,1,0.0,1,rademacher,0.007822779605263157
2_step,256,0.0190476197749376,1,0.0,1,spherical,0.007994791666666667
2_step,256,0.0190476197749376,1,0.1428571492433548,1,rademacher,0.007822779605263157
2_step,256,0.0190476197749376,1,0.1428571492433548,1,spherical,0.007994791666666667
2_step,256,0.0190476197749376,1,0.2857142984867096,1,rademacher,0.007822779605263157
2_step,256,0.0190476197749376,1,0.2857142984867096,1,spherical,0.007994791666666667
2_step,256,0.0190476197749376,1,0.4285714626312256,2,rademacher,0.015655838815789472
2_step,256,0.0190476197749376,1,0.4285714626312256,2,spherical,0.430927734375
2_step,256,0.0190476197749376,1,0.5714285969734192,3,rademacher,0.03187705592105263
2_step,256,0.0190476197749376,1,0.5714285969734192,3,spherical,0.972744140625
2_step,256,0.0190476197749376,1,0.7142857313156128,4,rademacher,0.06439144736842105
2_step,256,0.0190476197749376,1,0.7142857313156128,4,spherical,0.998603515625
2_step,256,0.0190476197749376,1,0.8571429252624512,5,rademacher,0.12628495065789475
2_step,256,0.0190476197749376,1,0.8571429252624512,5,spherical,1.0
