d,n,init_loss,final_loss
64,512,0.12511713802814484,0.11704114824533463
74,512,0.11609558761119843,0.10762439668178558
84,512,0.10906581580638885,0.0998554527759552
97,512,0.10158658027648926,0.0915013924241066
111,512,0.09496667236089706,0.08408145606517792
128,512,0.0885387435555458,0.076621413230896
147,512,0.08243624866008759,0.06970714777708054
169,512,0.07694698125123978,0.06302215158939362
194,512,0.07178045809268951,0.05663726106286049
223,512,0.06711122393608093,0.05036003887653351
256,512,0.06252385675907135,0.044237393885850906
294,512,0.058243487030267715,0.038092903792858124
338,512,0.054367002099752426,0.031739912927150726
388,512,0.05063463747501373,0.025008322671055794
446,512,0.047334056347608566,0.017017465084791183
512,512,0.044336192309856415,1.527371205156669e-05
16,512,0.25084051489830017,0.24630369246006012
18,512,0.2360144853591919,0.2317485362291336
21,512,0.2188153862953186,0.21390488743782043
24,512,0.20494186878204346,0.19947747886180878
28,512,0.18888230621814728,0.18392179906368256
32,512,0.17653410136699677,0.17133069038391113
37,512,0.16454708576202393,0.1585022658109665
42,512,0.1543925255537033,0.14798367023468018
49,512,0.14231166243553162,0.1359821856021881
56,512,0.1336856633424759,0.12623445689678192
64,512,0.12501204013824463,0.11704114079475403
74,512,0.11655964702367783,0.10762439668178558
84,512,0.10911031067371368,0.0998554527759552
97,512,0.10121235251426697,0.0915013924241066
111,512,0.09514688700437546,0.08408145606517792
128,512,0.08842302113771439,0.076621413230896
147,512,0.08254530280828476,0.06970715522766113
169,512,0.07690760493278503,0.06302215158939362
194,512,0.0716797262430191,0.05663726106286049
223,512,0.06700079143047333,0.05036003887653351
256,512,0.06249392032623291,0.044237393885850906
294,512,0.05836842209100723,0.038092903792858124
338,512,0.05428443104028702,0.03173992037773132
388,512,0.05063420534133911,0.025008313357830048
446,512,0.0473589226603508,0.017017465084791183
512,512,0.04415382444858551,1.527371205156669e-05
16,128,0.25143712759017944,0.2347724586725235
18,128,0.23219168186187744,0.21936039626598358
21,128,0.21857008337974548,0.20029975473880768
24,128,0.20384414494037628,0.18471799790859222
28,128,0.19017037749290466,0.16769461333751678
32,128,0.1773519217967987,0.15369467437267303
37,128,0.1642090082168579,0.1391611397266388
42,128,0.15356622636318207,0.12697631120681763
49,128,0.1420907825231552,0.1126713827252388
56,128,0.1332029402256012,0.10061677545309067
64,128,0.12530827522277832,0.08873564749956131
74,128,0.1165902316570282,0.07580173760652542
84,128,0.10867001861333847,0.06422214210033417
97,128,0.10234982520341873,0.050164107233285904
111,128,0.09501797705888748,0.03472703695297241
128,128,0.08895409852266312,0.0
16,64,0.24546949565410614,0.2182178795337677
17,64,0.25086820125579834,0.20948560535907745
18,64,0.2412758767604828,0.20140598714351654
20,64,0.22512973845005035,0.18687063455581665
21,64,0.21408693492412567,0.1802828013896942
23,64,0.20697544515132904,0.16821227967739105
24,64,0.2026941180229187,0.16265001893043518
26,64,0.19326376914978027,0.1523122638463974
28,64,0.1909603327512741,0.1428571343421936
30,64,0.18510469794273376,0.13412462174892426
32,64,0.17398899793624878,0.1259881556034088
34,64,0.17159272730350494,0.11834526062011719
37,64,0.1641257107257843,0.10762439668178558
