k,d,max_steps,n,acc
1,496,2,1048576,1.0
1,496,4,256,1.0
1,496,4,4096,1.0
1,496,4,65536,1.0
1,496,4,1048576,1.0
1,496,64,256,1.0
1,496,64,4096,1.0
1,496,64,65536,1.0
1,496,64,1048576,1.0
1,512,1,256,1.0
1,512,1,4096,1.0
1,512,1,65536,1.0
1,512,1,1048576,1.0
1,512,2,256,1.0
1,512,2,4096,1.0
1,512,2,65536,1.0
1,512,2,1048576,1.0
1,512,4,256,1.0
1,512,4,4096,1.0
1,512,4,65536,1.0
1,512,4,1048576,1.0
1,512,64,256,1.0
1,512,64,4096,1.0
1,512,64,65536,1.0
1,512,64,1048576,1.0
1,528,1,256,1.0
1,528,1,4096,1.0
1,528,1,65536,1.0
1,528,1,1048576,1.0
1,528,2,256,1.0
1,528,2,4096,1.0
1,528,2,65536,1.0
1,528,2,1048576,1.0
1,528,4,256,1.0
1,528,4,4096,1.0
1,528,4,65536,1.0
1,528,4,1048576,1.0
1,528,64,256,1.0
1,528,64,4096,1.0
1,528,64,65536,1.0
1,528,64,1048576,1.0
1,544,1,256,1.0
1,544,1,4096,1.0
1,544,1,65536,1.0
1,544,1,1048576,1.0
1,544,2,256,1.0
1,544,2,4096,1.0
1,544,2,65536,1.0
1,544,2,1048576,1.0
1,544,4,256,1.0
1,544,4,4096,1.0
1,544,4,65536,1.0
1,544,4,1048576,1.0
1,544,64,256,1.0
1,544,64,4096,1.0
1,544,64,65536,1.0
1,544,64,1048576,1.0
1,560,1,256,1.0
1,560,1,4096,1.0
1,560,1,65536,1.0
1,560,1,1048576,1.0
1,560,2,256,1.0
1,560,2,4096,1.0
1,560,2,65536,1.0
1,560,2,1048576,1.0
1,560,4,256,1.0
1,560,4,4096,1.0
1,560,4,65536,1.0
1,560,4,1048576,1.0
1,560,64,256,1.0
1,560,64,4096,1.0
1,560,64,65536,1.0
1,560,64,1048576,1.0
1,576,1,256,1.0
1,576,1,4096,1.0
1,576,1,65536,1.0
1,576,1,1048576,1.0
1,576,2,256,1.0
1,576,2,4096,1.0
1,576,2,65536,1.0
1,576,2,1048576,1.0
1,576,4,256,1.0
1,576,4,4096,1.0
1,576,4,65536,1.0
1,576,4,1048576,1.0
1,576,64,256,1.0
1,576,64,4096,1.0
1,576,64,65536,1.0
1,576,64,1048576,1.0
1,592,1,256,1.0
1,592,1,4096,1.0
1,592,1,65536,1.0
1,592,1,1048576,1.0
1,592,2,256,1.0
