n,eta,factor,threshold,max_steps,k,d,acc
1024,0.0,4.0,False,64,1.0,31.0,1.0
1024,0.0,4.0,True,1,1.0,31.0,1.0
1024,0.0,4.142857551574707,False,1,1.0,32.0,1.0
1024,0.0,4.142857551574707,False,4,1.0,32.0,1.0
1024,0.0,4.142857551574707,False,64,1.0,32.0,1.0
1024,0.0,4.142857551574707,True,1,1.0,32.0,1.0
1024,0.0,4.285714626312256,False,1,1.0,33.0,1.0
1024,0.0,4.285714626312256,False,4,1.0,33.0,1.0
1024,0.0,4.285714626312256,False,64,1.0,33.0,1.0
1024,0.0,4.285714626312256,True,1,1.0,33.0,1.0
1024,0.0,4.428571701049805,False,1,1.0,35.0,1.0
1024,0.0,4.428571701049805,False,4,1.0,35.0,1.0
1024,0.0,4.428571701049805,False,64,1.0,35.0,1.0
1024,0.0,4.428571701049805,True,1,1.0,35.0,1.0
1024,0.0,4.571428298950195,False,1,1.0,36.0,1.0
1024,0.0,4.571428298950195,False,4,1.0,36.0,1.0
1024,0.0,4.571428298950195,False,64,1.0,36.0,1.0
1024,0.0,4.571428298950195,True,1,1.0,36.0,1.0
1024,0.0,4.714285373687744,False,1,1.0,37.0,1.0
1024,0.0,4.714285373687744,False,4,1.0,37.0,1.0
1024,0.0,4.714285373687744,False,64,1.0,37.0,1.0
1024,0.0,4.714285373687744,True,1,1.0,37.0,1.0
1024,0.0,4.857142448425293,False,1,1.0,38.0,1.0
1024,0.0,4.857142448425293,False,4,1.0,38.0,1.0
1024,0.0,4.857142448425293,False,64,1.0,38.0,1.0
1024,0.0,4.857142448425293,True,1,1.0,38.0,1.0
1024,0.0,5.0,False,1,1.0,39.0,1.0
1024,0.0,5.0,False,4,1.0,39.0,1.0
1024,0.0,5.0,False,64,1.0,39.0,1.0
1024,0.0,5.0,True,1,1.0,39.0,1.0
1024,0.0,5.142857074737549,False,1,1.0,40.0,1.0
1024,0.0,5.142857074737549,False,4,1.0,40.0,1.0
1024,0.0,5.142857074737549,False,64,1.0,40.0,1.0
1024,0.0,5.142857074737549,True,1,1.0,40.0,1.0
1024,0.0,5.285714149475098,False,1,1.0,41.0,1.0
1024,0.0,5.285714149475098,False,4,1.0,41.0,1.0
1024,0.0,5.285714149475098,False,64,1.0,41.0,1.0
1024,0.0,5.285714149475098,True,1,1.0,41.0,1.0
1024,0.0,5.4285712242126465,False,1,1.0,43.0,1.0
1024,0.0,5.4285712242126465,False,4,1.0,43.0,1.0
1024,0.0,5.4285712242126465,False,64,1.0,43.0,1.0
1024,0.0,5.4285712242126465,True,1,1.0,43.0,1.0
1024,0.0,5.571428298950195,False,1,1.0,44.0,1.0
1024,0.0,5.571428298950195,False,4,1.0,44.0,1.0
1024,0.0,5.571428298950195,False,64,1.0,44.0,1.0
1024,0.0,5.571428298950195,True,1,1.0,44.0,1.0
1024,0.0,5.714285373687744,False,1,1.0,45.0,1.0
1024,0.0,5.714285373687744,False,4,1.0,45.0,1.0
1024,0.0,5.714285373687744,False,64,1.0,45.0,1.0
1024,0.0,5.714285373687744,True,1,1.0,45.0,1.0
1024,0.0,5.857142925262451,False,1,1.0,46.0,1.0
1024,0.0,5.857142925262451,False,4,1.0,46.0,1.0
1024,0.0,5.857142925262451,False,64,1.0,46.0,1.0
1024,0.0,5.857142925262451,True,1,1.0,46.0,1.0
