type,n,k,d,success_rate,b
topk,32768,42,4100,1.0,80
threshold,32768,42,4428,1.0,80
topk,32768,42,4756,1.0,80
threshold,32768,42,5084,1.0,80
threshold,32768,42,5248,1.0,80
threshold,32768,42,5576,1.0,80
threshold,32768,42,5740,1.0,80
threshold,32768,42,6068,1.0,80
threshold,32768,42,6396,1.0,80
topk,32768,42,7052,1.0,80
threshold,65536,42,1968,0.0,80
topk,65536,42,1968,0.7875,80
threshold,65536,42,2132,0.0,80
topk,65536,42,2132,0.9,80
threshold,65536,42,2460,0.0125,80
topk,65536,42,2460,0.975,80
threshold,65536,42,3116,0.575,80
topk,65536,42,3116,1.0,80
threshold,65536,42,3936,0.95,80
topk,65536,42,3936,1.0,80
threshold,65536,42,4264,1.0,80
topk,65536,42,4264,1.0,80
threshold,65536,42,7216,1.0,80
topk,65536,42,7216,1.0,80
threshold,65536,42,7380,1.0,80
topk,65536,42,7380,1.0,80
threshold,65536,42,7872,1.0,80
topk,65536,42,7872,1.0,80
threshold,131072,42,164,0.0,80
threshold,131072,42,328,0.0,80
topk,131072,42,820,0.0,80
threshold,131072,42,1148,0.0,80
topk,131072,42,2788,1.0,80
topk,131072,42,5904,1.0,80
topk,131072,42,6560,1.0,80
threshold,131072,42,6724,1.0,80
topk,262144,42,1476,0.075,80
topk,262144,42,2624,0.9875,80
threshold,262144,42,2952,0.0125,80
threshold,262144,42,4428,0.9625,80
topk,262144,42,4920,1.0,80
threshold,262144,42,5084,1.0,80
threshold,262144,42,5248,1.0,80
topk,262144,42,5412,1.0,80
threshold,262144,42,5576,1.0,80
threshold,262144,42,5740,1.0,80
threshold,262144,42,6068,1.0,80
topk,262144,42,6232,1.0,80
threshold,262144,42,6396,1.0,80
topk,262144,42,6888,1.0,80
topk,262144,42,7544,1.0,80
topk,262144,42,7708,1.0,80
topk,524288,42,820,0.0,80
threshold,524288,42,1968,0.0,80
threshold,524288,42,2132,0.0,80
threshold,524288,42,2460,0.0,80
topk,524288,42,2788,0.975,80
threshold,524288,42,3116,0.0125,80
threshold,524288,42,3936,0.6,80
threshold,524288,42,4264,0.8625,80
topk,524288,42,5904,1.0,80
topk,524288,42,6560,1.0,80
threshold,524288,42,7216,1.0,80
threshold,524288,42,7380,1.0,80
threshold,524288,42,7872,1.0,80
topk,1048576,76,984,0.0,80
topk,1048576,76,1312,0.0,80
threshold,1048576,76,2952,0.0,80
topk,1048576,76,3444,0.1375,80
topk,1048576,76,3608,0.175,80
topk,1048576,76,3772,0.2875,80
threshold,1048576,76,4428,0.0,80
topk,1048576,76,4592,0.8125,80
threshold,1048576,76,5084,0.0,80
threshold,1048576,76,5248,0.0,80
threshold,1048576,76,5576,0.0,80
threshold,1048576,76,5740,0.0,80
threshold,1048576,76,6068,0.0125,80
threshold,1048576,76,6396,0.0875,80
threshold,256,78,164,0.0,80
threshold,256,78,328,0.0,80
threshold,256,78,1148,0.0,80
topk,256,78,1476,0.1125,80
topk,256,78,2624,0.875,80
topk,256,78,4920,1.0,80
topk,256,78,5412,1.0,80
topk,256,78,6232,1.0,80
threshold,256,78,6724,1.0,80
topk,256,78,6888,1.0,80
topk,256,78,7544,1.0,80
topk,256,78,7708,1.0,80
topk,512,78,492,0.0,80
topk,512,78,656,0.0,80
topk,512,78,1804,0.175,80
threshold,512,78,1968,0.0375,80
threshold,512,78,2132,0.0625,80
topk,512,78,2296,0.5,80
threshold,512,78,2460,0.375,80
threshold,512,78,3116,0.6375,80
topk,512,78,3280,0.9375,80
threshold,512,78,3936,0.95,80
topk,512,78,4100,1.0,80
threshold,512,78,4264,0.95,80
topk,512,78,4756,1.0,80
topk,512,78,7052,1.0,80
threshold,512,78,7216,0.9875,80
threshold,512,78,7380,0.9875,80
threshold,512,78,7872,0.9875,80
topk,1024,78,820,0.0,80
threshold,1024,78,1640,0.0,80
topk,1024,78,2788,0.7625,80
topk,1024,78,5904,1.0,80
topk,1024,78,6560,1.0,80
threshold,1024,78,8036,1.0,80
threshold,2048,78,1476,0.0,80
topk,2048,78,1640,0.0,80
threshold,2048,78,2624,0.05,80
threshold,2048,78,4920,0.875,80
threshold,2048,78,5412,0.9375,80
threshold,2048,78,6232,0.9875,80
threshold,2048,78,6888,0.9875,80
threshold,2048,78,7544,0.9875,80
threshold,2048,78,7708,0.9875,80
topk,2048,78,8036,1.0,80
topk,4096,78,492,0.0,80
topk,4096,78,656,0.0,80
topk,4096,78,1804,0.0,80
threshold,4096,78,1968,0.0,80
threshold,4096,78,2132,0.0,80
topk,4096,78,2296,0.075,80
threshold,4096,78,2460,0.0,80
threshold,4096,78,3116,0.0375,80
topk,4096,78,3280,0.7875,80
threshold,4096,78,3936,0.5,80
topk,4096,78,4100,0.9875,80
threshold,4096,78,4264,0.675,80
topk,4096,78,4756,1.0,80
topk,4096,78,7052,1.0,80
threshold,4096,78,7216,0.9875,80
threshold,4096,78,7380,0.9875,80
threshold,4096,78,7872,0.9875,80
topk,8192,78,820,0.0,80
threshold,8192,78,1968,0.0,80
threshold,8192,78,2132,0.0,80
threshold,8192,78,2460,0.0,80
topk,8192,78,2788,0.4,80
threshold,8192,78,3116,0.0,80
threshold,8192,78,3936,0.225,80
threshold,8192,78,4264,0.475,80
topk,8192,78,5904,1.0,80
topk,8192,78,6560,1.0,80
threshold,8192,78,7216,0.9875,80
threshold,8192,78,7380,0.9875,80
threshold,8192,78,7872,0.9875,80
threshold,16384,78,984,0.0,80
threshold,16384,78,1312,0.0,80
topk,16384,78,1476,0.0,80
topk,16384,78,2624,0.1,80
threshold,16384,78,3444,0.0,80
threshold,16384,78,3608,0.0,80
threshold,16384,78,3772,0.05,80
threshold,16384,78,4592,0.4625,80
topk,16384,78,4920,1.0,80
topk,16384,78,5412,1.0,80
topk,16384,78,6232,1.0,80
topk,16384,78,6888,1.0,80
topk,16384,78,7544,1.0,80
topk,16384,78,7708,1.0,80
topk,32768,78,1640,0.0,80
threshold,32768,78,1968,0.0,80
threshold,32768,78,2132,0.0,80
threshold,32768,78,2460,0.0,80
threshold,32768,78,3116,0.0,80
threshold,32768,78,3936,0.0125,80
threshold,32768,78,4264,0.0625,80
threshold,32768,78,7216,0.975,80
threshold,32768,78,7380,0.95,80
threshold,32768,78,7872,0.975,80
topk,32768,78,8036,1.0,80
threshold,65536,78,820,0.0,80
topk,65536,78,1476,0.0,80
topk,65536,78,2624,0.0125,80
threshold,65536,78,2788,0.0,80
topk,65536,78,4920,1.0,80
topk,65536,78,5412,1.0,80
threshold,65536,78,5904,0.6875,80
topk,65536,78,6232,1.0,80
threshold,65536,78,6560,0.875,80
topk,65536,78,6888,1.0,80
topk,65536,78,7544,1.0,80
topk,65536,78,7708,1.0,80
threshold,131072,78,492,0.0,80
threshold,131072,78,656,0.0,80
threshold,131072,78,1804,0.0,80
topk,131072,78,1968,0.0,80
topk,131072,78,2132,0.0,80
threshold,131072,78,2296,0.0,80
topk,131072,78,2460,0.0,80
topk,131072,78,3116,0.1375,80
threshold,131072,78,3280,0.0,80
topk,131072,78,3936,0.6625,80
threshold,131072,78,4100,0.0,80
topk,131072,78,4264,0.7875,80
threshold,131072,78,4756,0.0,80
threshold,131072,78,7052,0.9,80
topk,131072,78,7216,1.0,80
topk,131072,78,7380,1.0,80
topk,131072,78,7872,1.0,80
threshold,262144,78,984,0.0,80
topk,262144,78,984,0.0,80
threshold,262144,78,1312,0.0,80
topk,262144,78,1312,0.0,80
threshold,262144,78,3444,0.0,80
topk,262144,78,3444,0.225,80
threshold,262144,78,3608,0.0,80
topk,262144,78,3608,0.2875,80
threshold,262144,78,3772,0.0,80
topk,262144,78,3772,0.475,80
threshold,262144,78,4592,0.0,80
topk,262144,78,4592,0.9625,80
threshold,1048576,42,1640,0.0,80
topk,1048576,42,1968,0.4625,80
topk,1048576,42,2132,0.65,80
topk,1048576,42,2460,0.8875,80
topk,1048576,42,3116,1.0,80
topk,1048576,42,3936,1.0,80
topk,1048576,42,4264,1.0,80
topk,1048576,42,7216,1.0,80
topk,1048576,42,7380,1.0,80
topk,1048576,42,7872,1.0,80
threshold,1048576,42,8036,1.0,80
threshold,256,44,1476,0.6625,80
threshold,256,44,2624,0.9875,80
topk,256,44,2952,1.0,80
topk,256,44,4428,1.0,80
threshold,256,44,4920,1.0,80
topk,256,44,5084,1.0,80
topk,256,44,5248,1.0,80
threshold,256,44,5412,1.0,80
topk,256,44,5576,1.0,80
topk,256,44,5740,1.0,80
topk,256,44,6068,1.0,80
threshold,256,44,6232,1.0,80
topk,256,44,6396,1.0,80
threshold,256,44,6888,1.0,80
threshold,256,44,7544,1.0,80
threshold,256,44,7708,1.0,80
threshold,512,44,164,0.0,80
topk,512,44,164,0.0,80
threshold,512,44,328,0.0,80
topk,512,44,328,0.0,80
threshold,512,44,1148,0.1125,80
topk,512,44,1148,0.425,80
threshold,512,44,6724,1.0,80
topk,512,44,6724,1.0,80
topk,1024,44,492,0.0,80
topk,1024,44,656,0.0,80
topk,1024,44,1804,0.9,80
topk,1024,44,2296,1.0,80
threshold,1024,44,2952,0.9875,80
topk,1024,44,3280,1.0,80
topk,1024,44,4100,1.0,80
threshold,1024,44,4428,1.0,80
topk,1024,44,4756,1.0,80
threshold,1024,44,5084,1.0,80
threshold,1024,44,5248,1.0,80
threshold,1024,44,5576,1.0,80
threshold,1024,44,5740,1.0,80
threshold,1024,44,6068,1.0,80
threshold,1024,44,6396,1.0,80
topk,1024,44,7052,1.0,80
topk,2048,44,984,0.0375,80
topk,2048,44,1312,0.4125,80
threshold,2048,44,1640,0.1125,80
topk,2048,44,3444,1.0,80
topk,2048,44,3608,1.0,80
topk,2048,44,3772,1.0,80
topk,2048,44,4592,1.0,80
threshold,2048,44,8036,1.0,80
topk,4096,44,492,0.0,80
topk,4096,44,656,0.0,80
threshold,4096,44,820,0.0,80
topk,4096,44,1804,0.825,80
topk,4096,44,2296,0.975,80
threshold,4096,44,2788,0.8375,80
topk,4096,44,3280,1.0,80
topk,4096,44,4100,1.0,80
topk,4096,44,4756,1.0,80
threshold,4096,44,5904,1.0,80
threshold,4096,44,6560,1.0,80
topk,4096,44,7052,1.0,80
threshold,8192,44,820,0.0,80
topk,8192,44,820,0.0,80
threshold,8192,44,2788,0.75,80
topk,8192,44,2788,1.0,80
threshold,8192,44,5904,1.0,80
topk,8192,44,5904,1.0,80
threshold,8192,44,6560,1.0,80
topk,8192,44,6560,1.0,80
topk,524288,78,492,0.0,80
topk,524288,78,656,0.0,80
threshold,524288,78,1640,0.0,80
topk,524288,78,1804,0.0,80
topk,524288,78,2296,0.0,80
topk,524288,78,3280,0.0875,80
topk,524288,78,4100,0.6,80
topk,524288,78,4756,0.9625,80
topk,524288,78,7052,1.0,80
threshold,524288,78,8036,0.9125,80
topk,16384,44,492,0.0,80
topk,16384,44,656,0.0,80
threshold,16384,44,984,0.0,80
threshold,16384,44,1312,0.0,80
topk,16384,44,1804,0.725,80
topk,16384,44,2296,0.95,80
topk,16384,44,3280,1.0,80
threshold,16384,44,3444,0.875,80
threshold,16384,44,3608,0.975,80
threshold,16384,44,3772,0.975,80
topk,16384,44,4100,1.0,80
threshold,16384,44,4592,1.0,80
topk,16384,44,4756,1.0,80
topk,16384,44,7052,1.0,80
threshold,32768,44,984,0.0,80
topk,32768,44,984,0.0,80
threshold,32768,44,1312,0.0,80
topk,32768,44,1312,0.0375,80
threshold,32768,44,3444,0.85,80
topk,32768,44,3444,1.0,80
threshold,32768,44,3608,0.9375,80
topk,32768,44,3608,1.0,80
threshold,32768,44,3772,0.9375,80
topk,32768,44,3772,1.0,80
threshold,32768,44,4592,1.0,80
topk,32768,44,4592,1.0,80
threshold,65536,44,492,0.0,80
threshold,65536,44,656,0.0,80
threshold,65536,44,1804,0.0,80
threshold,65536,44,2296,0.0,80
topk,65536,44,2952,1.0,80
threshold,65536,44,3280,0.5625,80
threshold,65536,44,4100,0.9125,80
topk,65536,44,4428,1.0,80
threshold,65536,44,4756,0.9875,80
topk,65536,44,5084,1.0,80
topk,65536,44,5248,1.0,80
topk,65536,44,5576,1.0,80
topk,65536,44,5740,1.0,80
topk,65536,44,6068,1.0,80
topk,65536,44,6396,1.0,80
threshold,65536,44,7052,1.0,80
threshold,131072,44,820,0.0,80
topk,131072,44,1640,0.1125,80
threshold,131072,44,2788,0.0,80
threshold,131072,44,5904,1.0,80
threshold,131072,44,6560,1.0,80
topk,131072,44,8036,1.0,80
threshold,262144,44,164,0.0,80
threshold,262144,44,328,0.0,80
threshold,262144,44,1148,0.0,80
topk,262144,44,1476,0.0,80
topk,262144,44,2624,0.9375,80
topk,262144,44,4920,1.0,80
topk,262144,44,5412,1.0,80
topk,262144,44,6232,1.0,80
threshold,262144,44,6724,1.0,80
topk,262144,44,6888,1.0,80
topk,262144,44,7544,1.0,80
topk,262144,44,7708,1.0,80
threshold,524288,44,492,0.0,80
threshold,524288,44,656,0.0,80
topk,524288,44,1476,0.0,80
threshold,524288,44,1804,0.0,80
threshold,524288,44,2296,0.0,80
topk,524288,44,2624,0.9,80
threshold,524288,44,3280,0.0125,80
threshold,524288,44,4100,0.7,80
threshold,524288,44,4756,0.975,80
topk,524288,44,4920,1.0,80
topk,524288,44,5412,1.0,80
topk,524288,44,6232,1.0,80
topk,524288,44,6888,1.0,80
threshold,524288,44,7052,1.0,80
topk,524288,44,7544,1.0,80
topk,524288,44,7708,1.0,80
threshold,1048576,78,820,0.0,80
topk,1048576,78,984,0.0,80
topk,1048576,78,1312,0.0,80
threshold,1048576,78,2788,0.0,80
topk,1048576,78,3444,0.075,80
topk,1048576,78,3608,0.1125,80
topk,1048576,78,3772,0.225,80
topk,1048576,78,4592,0.8375,80
threshold,1048576,78,5904,0.0,80
threshold,1048576,78,6560,0.125,80
threshold,256,80,820,0.0,80
topk,256,80,1968,0.3375,80
topk,256,80,2132,0.4875,80
topk,256,80,2460,0.725,80
threshold,256,80,2788,0.625,80
topk,256,80,3116,0.9875,80
topk,256,80,3936,0.9875,80
topk,256,80,4264,0.9875,80
threshold,256,80,5904,1.0,80
threshold,256,80,6560,1.0,80
topk,256,80,7216,1.0,80
topk,256,80,7380,1.0,80
topk,256,80,7872,1.0,80
threshold,512,80,164,0.0,80
threshold,512,80,328,0.0,80
threshold,512,80,1148,0.0,80
topk,512,80,1640,0.0125,80
threshold,512,80,6724,1.0,80
topk,512,80,8036,1.0,80
threshold,1024,80,820,0.0,80
topk,1024,80,820,0.0,80
threshold,1024,80,2788,0.2375,80
topk,1024,80,2788,0.75,80
threshold,1024,80,5904,1.0,80
topk,1024,80,5904,1.0,80
threshold,1024,80,6560,1.0,80
topk,1024,80,6560,1.0,80
topk,2048,80,1968,0.0375,80
topk,2048,80,2132,0.1,80
topk,2048,80,2460,0.1375,80
threshold,2048,80,2952,0.0375,80
topk,2048,80,3116,0.7875,80
topk,2048,80,3936,0.9375,80
topk,2048,80,4264,0.95,80
threshold,2048,80,4428,0.775,80
threshold,2048,80,5084,0.9,80
threshold,2048,80,5248,0.9375,80
threshold,2048,80,5576,0.9875,80
threshold,2048,80,5740,1.0,80
threshold,2048,80,6068,1.0,80
threshold,2048,80,6396,1.0,80
topk,2048,80,7216,1.0,80
topk,2048,80,7380,1.0,80
topk,2048,80,7872,1.0,80
threshold,4096,80,164,0.0,80
topk,4096,80,164,0.0,80
threshold,4096,80,328,0.0,80
topk,4096,80,328,0.0,80
threshold,4096,80,1148,0.0,80
topk,4096,80,1148,0.0,80
threshold,4096,80,6724,0.975,80
topk,4096,80,6724,1.0,80
threshold,8192,80,492,0.0,80
topk,8192,80,492,0.0,80
threshold,8192,80,656,0.0,80
topk,8192,80,656,0.0,80
threshold,8192,80,1804,0.0,80
topk,8192,80,1804,0.0,80
threshold,8192,80,2296,0.0,80
topk,8192,80,2296,0.0125,80
threshold,8192,80,3280,0.0125,80
topk,8192,80,3280,0.65,80
threshold,8192,80,4100,0.15,80
topk,8192,80,4100,0.9125,80
threshold,8192,80,4756,0.575,80
topk,8192,80,4756,0.95,80
threshold,8192,80,7052,0.975,80
topk,8192,80,7052,1.0,80
threshold,16384,80,1968,0.0,80
topk,16384,80,1968,0.0,80
threshold,16384,80,2132,0.0,80
topk,16384,80,2132,0.0,80
threshold,16384,80,2460,0.0,80
topk,16384,80,2460,0.0125,80
threshold,16384,80,3116,0.0,80
topk,16384,80,3116,0.425,80
threshold,16384,80,3936,0.0375,80
topk,16384,80,3936,0.85,80
threshold,16384,80,4264,0.1625,80
topk,16384,80,4264,0.875,80
threshold,16384,80,7216,0.9875,80
topk,16384,80,7216,1.0,80
threshold,16384,80,7380,1.0,80
topk,16384,80,7380,1.0,80
threshold,16384,80,7872,1.0,80
topk,16384,80,7872,1.0,80
topk,32768,80,984,0.0,80
topk,32768,80,1312,0.0,80
threshold,32768,80,1640,0.0,80
topk,32768,80,3444,0.55,80
topk,32768,80,3608,0.6,80
topk,32768,80,3772,0.7625,80
topk,32768,80,4592,0.9125,80
threshold,32768,80,8036,1.0,80
threshold,65536,80,164,0.0,80
threshold,65536,80,328,0.0,80
topk,65536,80,820,0.0,80
threshold,65536,80,1148,0.0,80
topk,65536,80,2788,0.05,80
topk,65536,80,5904,0.9625,80
topk,65536,80,6560,1.0,80
threshold,65536,80,6724,0.7875,80
topk,131072,80,164,0.0,80
topk,131072,80,328,0.0,80
topk,131072,80,1148,0.0,80
threshold,131072,80,1640,0.0,80
topk,131072,80,6724,1.0,80
threshold,131072,80,8036,0.95,80
threshold,262144,80,164,0.0,80
threshold,262144,80,328,0.0,80
topk,262144,80,492,0.0,80
topk,262144,80,656,0.0,80
threshold,262144,80,1148,0.0,80
topk,262144,80,1804,0.0,80
topk,262144,80,2296,0.0,80
topk,262144,80,3280,0.0375,80
topk,262144,80,4100,0.6,80
topk,262144,80,4756,0.8125,80
threshold,262144,80,6724,0.4625,80
topk,262144,80,7052,1.0,80
topk,1048576,44,164,0.0,80
topk,1048576,44,328,0.0,80
topk,1048576,44,1148,0.0,80
threshold,1048576,44,1968,0.0,80
threshold,1048576,44,2132,0.0,80
threshold,1048576,44,2460,0.0,80
threshold,1048576,44,3116,0.0,80
threshold,1048576,44,3936,0.275,80
threshold,1048576,44,4264,0.5625,80
topk,1048576,44,6724,1.0,80
threshold,1048576,44,7216,1.0,80
threshold,1048576,44,7380,1.0,80
threshold,1048576,44,7872,1.0,80
topk,256,46,164,0.0,80
topk,256,46,328,0.0,80
threshold,256,46,492,0.0,80
threshold,256,46,656,0.0,80
topk,256,46,1148,0.6125,80
threshold,256,46,1804,0.825,80
threshold,256,46,2296,0.95,80
threshold,256,46,3280,1.0,80
threshold,256,46,4100,1.0,80
threshold,256,46,4756,1.0,80
topk,256,46,6724,1.0,80
threshold,256,46,7052,1.0,80
topk,512,46,1476,0.7625,80
topk,512,46,2624,1.0,80
threshold,512,46,2952,0.9875,80
threshold,512,46,4428,1.0,80
topk,512,46,4920,1.0,80
threshold,512,46,5084,1.0,80
threshold,512,46,5248,1.0,80
topk,512,46,5412,1.0,80
threshold,512,46,5576,1.0,80
threshold,512,46,5740,1.0,80
threshold,512,46,6068,1.0,80
topk,512,46,6232,1.0,80
threshold,512,46,6396,1.0,80
topk,512,46,6888,1.0,80
topk,512,46,7544,1.0,80
topk,512,46,7708,1.0,80
topk,1024,46,164,0.0,80
topk,1024,46,328,0.0,80
threshold,1024,46,984,0.0,80
topk,1024,46,1148,0.175,80
threshold,1024,46,1312,0.0125,80
threshold,1024,46,3444,1.0,80
threshold,1024,46,3608,1.0,80
threshold,1024,46,3772,1.0,80
threshold,1024,46,4592,1.0,80
topk,1024,46,6724,1.0,80
threshold,2048,46,820,0.0,80
topk,2048,46,1968,0.9625,80
topk,2048,46,2132,0.9875,80
topk,2048,46,2460,1.0,80
threshold,2048,46,2788,0.925,80
topk,2048,46,3116,1.0,80
topk,2048,46,3936,1.0,80
topk,2048,46,4264,1.0,80
threshold,2048,46,5904,1.0,80
threshold,2048,46,6560,1.0,80
topk,2048,46,7216,1.0,80
topk,2048,46,7380,1.0,80
topk,2048,46,7872,1.0,80
threshold,4096,46,820,0.0,80
topk,4096,46,1968,0.9,80
topk,4096,46,2132,0.975,80
topk,4096,46,2460,0.9875,80
threshold,4096,46,2788,0.85,80
topk,4096,46,3116,1.0,80
topk,4096,46,3936,1.0,80
topk,4096,46,4264,1.0,80
threshold,4096,46,5904,1.0,80
threshold,4096,46,6560,1.0,80
topk,4096,46,7216,1.0,80
topk,4096,46,7380,1.0,80
topk,4096,46,7872,1.0,80
topk,8192,46,492,0.0,80
topk,8192,46,656,0.0,80
threshold,8192,46,820,0.0,80
topk,8192,46,1804,0.6875,80
topk,8192,46,2296,0.9875,80
threshold,8192,46,2788,0.675,80
topk,8192,46,3280,1.0,80
topk,8192,46,4100,1.0,80
topk,8192,46,4756,1.0,80
threshold,8192,46,5904,1.0,80
threshold,8192,46,6560,1.0,80
topk,8192,46,7052,1.0,80
threshold,16384,46,492,0.0,80
threshold,16384,46,656,0.0,80
threshold,16384,46,1804,0.0,80
threshold,16384,46,2296,0.05,80
topk,16384,46,2952,1.0,80
threshold,16384,46,3280,0.9,80
threshold,16384,46,4100,0.9875,80
topk,16384,46,4428,1.0,80
threshold,16384,46,4756,1.0,80
topk,16384,46,5084,1.0,80
topk,16384,46,5248,1.0,80
topk,16384,46,5576,1.0,80
topk,16384,46,5740,1.0,80
topk,16384,46,6068,1.0,80
topk,16384,46,6396,1.0,80
threshold,16384,46,7052,1.0,80
topk,524288,80,984,0.0,80
topk,524288,80,1312,0.0,80
threshold,524288,80,1968,0.0,80
threshold,524288,80,2132,0.0,80
threshold,524288,80,2460,0.0,80
threshold,524288,80,3116,0.0,80
topk,524288,80,3444,0.05,80
topk,524288,80,3608,0.125,80
topk,524288,80,3772,0.275,80
threshold,524288,80,3936,0.0,80
threshold,524288,80,4264,0.0,80
topk,524288,80,4592,0.7875,80
threshold,524288,80,7216,0.5125,80
threshold,524288,80,7380,0.65,80
threshold,524288,80,7872,0.7875,80
topk,32768,46,164,0.0,80
topk,32768,46,328,0.0,80
topk,32768,46,1148,0.0,80
threshold,32768,46,1476,0.0,80
threshold,32768,46,2624,0.075,80
threshold,32768,46,4920,1.0,80
threshold,32768,46,5412,1.0,80
threshold,32768,46,6232,1.0,80
topk,32768,46,6724,1.0,80
threshold,32768,46,6888,1.0,80
threshold,32768,46,7544,1.0,80
threshold,32768,46,7708,1.0,80
topk,65536,46,164,0.0,80
topk,65536,46,328,0.0,80
topk,65536,46,1148,0.0,80
threshold,65536,46,1968,0.0,80
threshold,65536,46,2132,0.0,80
threshold,65536,46,2460,0.0,80
threshold,65536,46,3116,0.4375,80
threshold,65536,46,3936,0.925,80
threshold,65536,46,4264,0.9875,80
topk,65536,46,6724,1.0,80
threshold,65536,46,7216,1.0,80
threshold,65536,46,7380,1.0,80
threshold,65536,46,7872,1.0,80
topk,131072,46,492,0.0,80
topk,131072,46,656,0.0,80
threshold,131072,46,984,0.0,80
threshold,131072,46,1312,0.0,80
topk,131072,46,1804,0.2375,80
topk,131072,46,2296,0.8875,80
topk,131072,46,3280,1.0,80
threshold,131072,46,3444,0.45,80
threshold,131072,46,3608,0.725,80
threshold,131072,46,3772,0.7875,80
topk,131072,46,4100,1.0,80
threshold,131072,46,4592,0.9875,80
topk,131072,46,4756,1.0,80
topk,131072,46,7052,1.0,80
threshold,262144,46,1640,0.0,80
topk,262144,46,1640,0.025,80
threshold,262144,46,8036,1.0,80
topk,262144,46,8036,1.0,80
threshold,524288,46,492,0.0,80
threshold,524288,46,656,0.0,80
threshold,524288,46,1804,0.0,80
topk,524288,46,1968,0.2125,80
topk,524288,46,2132,0.35,80
threshold,524288,46,2296,0.0,80
topk,524288,46,2460,0.825,80
topk,524288,46,3116,0.9875,80
threshold,524288,46,3280,0.0,80
topk,524288,46,3936,1.0,80
threshold,524288,46,4100,0.525,80
topk,524288,46,4264,1.0,80
threshold,524288,46,4756,0.925,80
threshold,524288,46,7052,1.0,80
topk,524288,46,7216,1.0,80
topk,524288,46,7380,1.0,80
topk,524288,46,7872,1.0,80
topk,1048576,80,1968,0.0,80
topk,1048576,80,2132,0.0,80
topk,1048576,80,2460,0.0,80
threshold,1048576,80,2952,0.0,80
topk,1048576,80,3116,0.0,80
topk,1048576,80,3936,0.275,80
topk,1048576,80,4264,0.475,80
threshold,1048576,80,4428,0.0,80
threshold,1048576,80,5084,0.0,80
threshold,1048576,80,5248,0.0,80
threshold,1048576,80,5576,0.0,80
threshold,1048576,80,5740,0.0,80
threshold,1048576,80,6068,0.0,80
threshold,1048576,80,6396,0.0125,80
topk,1048576,80,7216,1.0,80
topk,1048576,80,7380,1.0,80
topk,1048576,80,7872,1.0,80
topk,256,82,1968,0.4,80
topk,256,82,2132,0.5125,80
topk,256,82,2460,0.6875,80
threshold,256,82,2952,0.7125,80
topk,256,82,3116,0.9625,80
topk,256,82,3936,1.0,80
topk,256,82,4264,1.0,80
threshold,256,82,4428,0.9875,80
threshold,256,82,5084,1.0,80
threshold,256,82,5248,1.0,80
threshold,256,82,5576,1.0,80
threshold,256,82,5740,1.0,80
threshold,256,82,6068,1.0,80
threshold,256,82,6396,1.0,80
topk,256,82,7216,1.0,80
topk,256,82,7380,1.0,80
topk,256,82,7872,1.0,80
topk,512,82,820,0.0,80
threshold,512,82,984,0.0,80
threshold,512,82,1312,0.0,80
topk,512,82,2788,0.7875,80
threshold,512,82,3444,0.75,80
threshold,512,82,3608,0.8,80
threshold,512,82,3772,0.8625,80
threshold,512,82,4592,0.975,80
topk,512,82,5904,1.0,80
topk,512,82,6560,1.0,80
topk,1024,82,164,0.0,80
topk,1024,82,328,0.0,80
topk,1024,82,1148,0.0,80
threshold,1024,82,1640,0.0,80
topk,1024,82,6724,1.0,80
threshold,1024,82,8036,1.0,80
threshold,2048,82,492,0.0,80
threshold,2048,82,656,0.0,80
topk,2048,82,984,0.0,80
topk,2048,82,1312,0.0,80
threshold,2048,82,1804,0.0,80
threshold,2048,82,2296,0.0,80
threshold,2048,82,3280,0.2375,80
topk,2048,82,3444,0.825,80
topk,2048,82,3608,0.95,80
topk,2048,82,3772,0.9625,80
threshold,2048,82,4100,0.6625,80
topk,2048,82,4592,0.9875,80
threshold,2048,82,4756,0.8125,80
threshold,2048,82,7052,1.0,80
threshold,4096,82,164,0.0,80
topk,4096,82,164,0.0,80
threshold,4096,82,328,0.0,80
topk,4096,82,328,0.0,80
threshold,4096,82,1148,0.0,80
topk,4096,82,1148,0.0,80
threshold,4096,82,6724,1.0,80
topk,4096,82,6724,1.0,80
threshold,8192,82,492,0.0,80
threshold,8192,82,656,0.0,80
topk,8192,82,1640,0.0,80
threshold,8192,82,1804,0.0,80
threshold,8192,82,2296,0.0,80
threshold,8192,82,3280,0.0,80
threshold,8192,82,4100,0.1625,80
threshold,8192,82,4756,0.5375,80
threshold,8192,82,7052,0.9875,80
topk,8192,82,8036,1.0,80
topk,16384,82,820,0.0,80
threshold,16384,82,1640,0.0,80
topk,16384,82,2788,0.1125,80
topk,16384,82,5904,1.0,80
topk,16384,82,6560,1.0,80
threshold,16384,82,8036,0.9875,80
topk,32768,82,492,0.0,80
topk,32768,82,656,0.0,80
threshold,32768,82,1640,0.0,80
topk,32768,82,1804,0.0,80
topk,32768,82,2296,0.0,80
topk,32768,82,3280,0.3125,80
topk,32768,82,4100,0.8875,80
topk,32768,82,4756,0.975,80
topk,32768,82,7052,1.0,80
threshold,32768,82,8036,0.9875,80
topk,65536,82,984,0.0,80
topk,65536,82,1312,0.0,80
threshold,65536,82,1968,0.0,80
threshold,65536,82,2132,0.0,80
threshold,65536,82,2460,0.0,80
threshold,65536,82,3116,0.0,80
topk,65536,82,3444,0.3375,80
topk,65536,82,3608,0.5625,80
