n,k,d,method,acc
256,5,1408,top_k,1.0
256,5,1472,threshold,1.0
256,5,1472,top_k,1.0
256,5,1536,threshold,1.0
256,5,1536,top_k,1.0
256,5,1600,threshold,1.0
256,5,1600,top_k,1.0
256,5,1664,threshold,1.0
256,5,1664,top_k,1.0
256,5,1728,threshold,1.0
256,5,1728,top_k,1.0
256,5,1792,threshold,1.0
256,5,1792,top_k,1.0
256,5,1856,threshold,1.0
256,5,1856,top_k,1.0
256,5,1920,threshold,1.0
256,5,1920,top_k,1.0
256,5,1984,threshold,1.0
256,5,1984,top_k,1.0
256,5,2048,threshold,1.0
256,5,2048,top_k,1.0
256,5,2112,threshold,1.0
256,5,2112,top_k,1.0
256,5,2176,threshold,1.0
256,5,2176,top_k,1.0
256,5,2240,threshold,1.0
256,5,2240,top_k,1.0
256,5,2304,threshold,1.0
256,5,2304,top_k,1.0
256,5,2368,threshold,1.0
256,5,2368,top_k,1.0
256,5,2432,threshold,1.0
256,5,2432,top_k,1.0
256,5,2496,threshold,1.0
256,5,2496,top_k,1.0
256,5,2560,threshold,1.0
256,5,2560,top_k,1.0
256,5,2624,threshold,1.0
256,5,2624,top_k,1.0
256,5,2688,threshold,1.0
256,5,2688,top_k,1.0
256,5,2752,threshold,1.0
256,5,2752,top_k,1.0
256,5,2816,threshold,1.0
256,5,2816,top_k,1.0
256,5,2880,threshold,1.0
256,5,2880,top_k,1.0
256,5,2944,threshold,1.0
256,5,2944,top_k,1.0
256,5,3008,threshold,1.0
256,5,3008,top_k,1.0
256,5,3072,threshold,1.0
256,5,3072,top_k,1.0
256,5,3136,threshold,1.0
256,5,3136,top_k,1.0
256,5,3200,threshold,1.0
256,5,3200,top_k,1.0
256,5,3264,threshold,1.0
256,5,3264,top_k,1.0
256,5,3328,threshold,1.0
256,5,3328,top_k,1.0
256,5,3392,threshold,1.0
256,5,3392,top_k,1.0
256,5,3456,threshold,1.0
256,5,3456,top_k,1.0
256,5,3520,threshold,1.0
256,5,3520,top_k,1.0
256,5,3584,threshold,1.0
256,5,3584,top_k,1.0
256,5,3648,threshold,1.0
256,5,3648,top_k,1.0
256,5,3712,threshold,1.0
256,5,3712,top_k,1.0
256,5,3776,threshold,1.0
256,5,3776,top_k,1.0
256,5,3840,threshold,1.0
256,5,3840,top_k,1.0
256,5,3904,threshold,1.0
256,5,3904,top_k,1.0
256,5,3968,threshold,1.0
256,5,3968,top_k,1.0
256,5,4032,threshold,1.0
256,5,4032,top_k,1.0
256,5,4096,threshold,1.0
256,5,4096,top_k,1.0
256,6,64,threshold,0.055782710280373834
256,6,64,top_k,0.17457651869158877
256,6,128,threshold,0.5863755841121495
256,6,128,top_k,0.876606308411215
256,6,192,threshold,0.8915741822429907
256,6,192,top_k,0.9923335280373832
256,6,256,threshold,0.975321261682243
256,6,256,top_k,0.9997079439252337
256,6,320,threshold,0.9941588785046729
256,6,320,top_k,1.0
256,6,384,threshold,0.998393691588785
256,6,384,top_k,1.0
256,6,448,threshold,0.9998539719626168
256,6,448,top_k,1.0
256,6,512,threshold,0.9998539719626168
256,6,512,top_k,1.0
256,6,576,threshold,1.0
256,6,576,top_k,1.0
256,6,640,threshold,1.0
256,6,640,top_k,1.0
256,6,704,threshold,1.0
256,6,704,top_k,1.0
256,6,768,threshold,1.0
256,6,768,top_k,1.0
256,6,832,threshold,1.0
256,6,832,top_k,1.0
256,6,896,threshold,1.0
256,6,896,top_k,1.0
256,6,960,threshold,1.0
256,6,960,top_k,1.0
256,6,1024,threshold,1.0
256,6,1024,top_k,1.0
256,6,1088,threshold,1.0
256,6,1088,top_k,1.0
256,6,1152,threshold,1.0
256,6,1152,top_k,1.0
256,6,1216,threshold,1.0
256,6,1216,top_k,1.0
256,6,1280,threshold,1.0
256,6,1280,top_k,1.0
256,6,1344,threshold,1.0
256,6,1344,top_k,1.0
256,6,1408,threshold,1.0
256,6,1408,top_k,1.0
256,6,1472,threshold,1.0
256,6,1472,top_k,1.0
256,6,1536,threshold,1.0
256,6,1536,top_k,1.0
256,6,1600,threshold,1.0
256,6,1600,top_k,1.0
256,6,1664,threshold,1.0
256,6,1664,top_k,1.0
256,6,1728,threshold,1.0
256,6,1728,top_k,1.0
256,6,1792,threshold,1.0
256,6,1792,top_k,1.0
256,6,1856,threshold,1.0
256,6,1856,top_k,1.0
256,6,1920,threshold,1.0
256,6,1920,top_k,1.0
256,6,1984,threshold,1.0
256,6,1984,top_k,1.0
256,6,2048,threshold,1.0
256,6,2048,top_k,1.0
256,6,2112,threshold,1.0
256,6,2112,top_k,1.0
256,6,2176,threshold,1.0
256,6,2176,top_k,1.0
256,6,2240,threshold,1.0
