# run: do-look-real-research
# time: 2025-11-20T11:22:13.426162+00:00
# command: project/eta_sweep_runner.py
# git_commit: 02a306d205aea27793f13fcdeab56cf7488e687c
# config: {"n": 1048576, "max_factor": 9, "max_eta": 0.4, "max_steps": 3, "threshold": false, "batch": 256, "max_floats": 4294967296, "device": "cuda"}
k,d,acc,eta,factor,step
1,16,0.0859375,0.012698412872850895,1.1428571939468384,136
1,19,0.4296875,0.012698412872850895,1.2857143878936768,137
1,21,0.81640625,0.012698412872850895,1.4285714626312256,138
1,23,0.91015625,0.012698412872850895,1.571428656578064,139
1,25,0.98828125,0.012698412872850895,1.7142858505249023,140
1,27,0.99609375,0.012698412872850895,1.8571429252624512,141
1,29,1.0,0.012698412872850895,2.0,142
1,31,1.0,0.012698412872850895,2.142857313156128,143
1,33,1.0,0.012698412872850895,2.2857143878936768,144
1,36,1.0,0.012698412872850895,2.4285714626312256,145
1,38,1.0,0.012698412872850895,2.5714287757873535,146
1,40,1.0,0.012698412872850895,2.7142858505249023,147
1,42,1.0,0.012698412872850895,2.857142925262451,148
1,44,1.0,0.012698412872850895,3.000000238418579,149
1,46,1.0,0.012698412872850895,3.142857313156128,150
1,48,1.0,0.012698412872850895,3.2857143878936768,151
1,50,1.0,0.012698412872850895,3.4285717010498047,152
1,53,1.0,0.012698412872850895,3.5714287757873535,153
1,55,1.0,0.012698412872850895,3.7142858505249023,154
1,57,1.0,0.012698412872850895,3.857142925262451,155
1,59,1.0,0.012698412872850895,4.0,156
1,61,1.0,0.012698412872850895,4.142857551574707,157
1,63,1.0,0.012698412872850895,4.285714626312256,158
1,65,1.0,0.012698412872850895,4.428571701049805,159
1,67,1.0,0.012698412872850895,4.571428298950195,160
1,70,1.0,0.012698412872850895,4.714285373687744,161
1,72,1.0,0.012698412872850895,4.857142448425293,162
1,74,1.0,0.012698412872850895,5.0,163
1,76,1.0,0.012698412872850895,5.142857074737549,164
1,78,1.0,0.012698412872850895,5.285714149475098,165
1,80,1.0,0.012698412872850895,5.4285712242126465,166
1,82,1.0,0.012698412872850895,5.571428298950195,167
1,84,1.0,0.012698412872850895,5.714285373687744,168
1,87,1.0,0.012698412872850895,5.857142925262451,169
1,89,1.0,0.012698412872850895,6.0,170
1,91,1.0,0.012698412872850895,6.142857074737549,171
1,93,1.0,0.012698412872850895,6.285714149475098,172
1,95,1.0,0.012698412872850895,6.4285712242126465,173
1,97,1.0,0.012698412872850895,6.571428298950195,174
1,99,1.0,0.012698412872850895,6.714285850524902,175
1,101,1.0,0.012698412872850895,6.857142925262451,176
1,104,1.0,0.012698412872850895,7.0,177
1,106,1.0,0.012698412872850895,7.142857074737549,178
1,108,1.0,0.012698412872850895,7.285714149475098,179
1,110,1.0,0.012698412872850895,7.4285712242126465,180
1,112,1.0,0.012698412872850895,7.571428298950195,181
1,114,1.0,0.012698412872850895,7.714285850524902,182
1,116,1.0,0.012698412872850895,7.857142925262451,183
1,118,1.0,0.012698412872850895,8.0,184
1,121,1.0,0.012698412872850895,8.142857551574707,185
1,123,1.0,0.012698412872850895,8.285714149475098,186
1,125,1.0,0.012698412872850895,8.428571701049805,187
1,127,1.0,0.012698412872850895,8.571428298950195,188
1,129,1.0,0.012698412872850895,8.714285850524902,189
1,131,1.0,0.012698412872850895,8.857142448425293,190
1,133,1.0,0.012698412872850895,9.0,191
1,1,0.0,0.01904761977493763,0.0,192
1,2,0.0,0.01904761977493763,0.1428571492433548,193
1,4,0.0,0.01904761977493763,0.2857142984867096,194
1,6,0.0,0.01904761977493763,0.4285714626312256,195
1,8,0.0,0.01904761977493763,0.5714285969734192,196
