# run: play-huge-friend-system
# time: 2025-11-18T19:54:40.294796+00:00
# command: project/eta_runner.py
# git_commit: 6823b90aaf5d9c92e5d55f4cd9c588f2d6e9ed44
# config: {"n": 4096, "max_factor": 9, "max_eta": 0.4, "max_steps": 64, "threshold": false, "batch": 256, "max_floats": 4294967296, "device": "cuda"}
k,d,acc,eta,factor,step
1,58,1.0,0.0,6.285714149475098,44
1,59,1.0,0.0,6.4285712242126465,45
1,61,1.0,0.0,6.571428298950195,46
1,62,1.0,0.0,6.714285850524902,47
1,63,1.0,0.0,6.857142925262451,48
1,65,1.0,0.0,7.0,49
1,66,1.0,0.0,7.142857074737549,50
1,67,1.0,0.0,7.285714149475098,51
1,69,1.0,0.0,7.4285712242126465,52
1,70,1.0,0.0,7.571428298950195,53
1,71,1.0,0.0,7.714285850524902,54
1,73,1.0,0.0,7.857142925262451,55
1,74,1.0,0.0,8.0,56
1,75,1.0,0.0,8.142857551574707,57
1,77,1.0,0.0,8.285714149475098,58
1,78,1.0,0.0,8.428571701049805,59
1,79,1.0,0.0,8.571428298950195,60
1,81,1.0,0.0,8.714285850524902,61
1,82,1.0,0.0,8.857142448425293,62
1,83,1.0,0.0,9.0,63
1,1,0.0,0.0063492064364254475,0.0,64
1,1,0.0,0.0063492064364254475,0.1428571492433548,65
1,2,0.0,0.0063492064364254475,0.2857142984867096,66
1,3,0.00390625,0.0063492064364254475,0.4285714626312256,67
1,5,0.0078125,0.0063492064364254475,0.5714285969734192,68
1,6,0.03125,0.0063492064364254475,0.7142857313156128,69
1,7,0.03515625,0.0063492064364254475,0.8571429252624512,70
1,9,0.1171875,0.0063492064364254475,1.0,71
1,10,0.28515625,0.0063492064364254475,1.1428571939468384,72
1,11,0.37109375,0.0063492064364254475,1.2857143878936768,73
1,13,0.82421875,0.0063492064364254475,1.4285714626312256,74
1,14,0.8671875,0.0063492064364254475,1.571428656578064,75
1,15,0.953125,0.0063492064364254475,1.7142858505249023,76
1,17,0.98046875,0.0063492064364254475,1.8571429252624512,77
1,18,1.0,0.0063492064364254475,2.0,78
1,19,1.0,0.0063492064364254475,2.142857313156128,79
1,21,1.0,0.0063492064364254475,2.2857143878936768,80
1,22,1.0,0.0063492064364254475,2.4285714626312256,81
1,23,1.0,0.0063492064364254475,2.5714287757873535,82
1,25,1.0,0.0063492064364254475,2.7142858505249023,83
1,26,1.0,0.0063492064364254475,2.857142925262451,84
1,27,1.0,0.0063492064364254475,3.000000238418579,85
1,29,1.0,0.0063492064364254475,3.142857313156128,86
1,30,1.0,0.0063492064364254475,3.2857143878936768,87
1,31,1.0,0.0063492064364254475,3.4285717010498047,88
1,33,1.0,0.0063492064364254475,3.5714287757873535,89
1,34,1.0,0.0063492064364254475,3.7142858505249023,90
1,35,1.0,0.0063492064364254475,3.857142925262451,91
1,37,1.0,0.0063492064364254475,4.0,92
1,38,1.0,0.0063492064364254475,4.142857551574707,93
1,39,1.0,0.0063492064364254475,4.285714626312256,94
1,41,1.0,0.0063492064364254475,4.428571701049805,95
1,42,1.0,0.0063492064364254475,4.571428298950195,96
1,43,1.0,0.0063492064364254475,4.714285373687744,97
1,45,1.0,0.0063492064364254475,4.857142448425293,98
1,46,1.0,0.0063492064364254475,5.0,99
1,47,1.0,0.0063492064364254475,5.142857074737549,100
1,49,1.0,0.0063492064364254475,5.285714149475098,101
1,50,1.0,0.0063492064364254475,5.4285712242126465,102
1,51,1.0,0.0063492064364254475,5.571428298950195,103
1,53,1.0,0.0063492064364254475,5.714285373687744,104
1,54,1.0,0.0063492064364254475,5.857142925262451,105
1,55,1.0,0.0063492064364254475,6.0,106
1,57,1.0,0.0063492064364254475,6.142857074737549,107
1,58,1.0,0.0063492064364254475,6.285714149475098,108
1,59,1.0,0.0063492064364254475,6.4285712242126465,109
1,61,1.0,0.0063492064364254475,6.571428298950195,110
1,62,1.0,0.0063492064364254475,6.714285850524902,111
1,63,1.0,0.0063492064364254475,6.857142925262451,112
1,65,1.0,0.0063492064364254475,7.0,113
1,66,1.0,0.0063492064364254475,7.142857074737549,114
1,67,1.0,0.0063492064364254475,7.285714149475098,115
1,69,1.0,0.0063492064364254475,7.4285712242126465,116
1,70,1.0,0.0063492064364254475,7.571428298950195,117
1,71,1.0,0.0063492064364254475,7.714285850524902,118
1,73,1.0,0.0063492064364254475,7.857142925262451,119
